연도,품목,지역,구분,물동량_톤
2019,석회석광물,대구,반출,0
2019,석회석광물,대구,합계,14831
2019,석회석광물,인천,반입,31221
2019,석회석광물,인천,반출,3759743
2019,석회석광물,인천,합계,3790964
2019,석회석광물,광주,반입,4916
2019,석회석광물,광주,반출,0
2019,석회석광물,광주,합계,4916
2019,석회석광물,세종,반입,10789
2019,석회석광물,세종,반출,0
2019,석회석광물,세종,합계,10789
2019,석회석광물,대전,반입,244760
2019,석회석광물,대전,반출,0
2019,석회석광물,대전,합계,244760
2019,석회석광물,울산,반입,24515
2019,석회석광물,울산,반출,107735
2019,석회석광물,울산,합계,132250
2019,석회석광물,경기,반입,3225123
2019,석회석광물,경기,반출,2430769
2019,석회석광물,경기,합계,5655892
2019,석회석광물,강원,반입,24053
2019,석회석광물,강원,반출,421276
2019,석회석광물,강원,합계,445329
2019,석회석광물,충북,반입,1779872
2019,석회석광물,충북,반출,343787
2019,석회석광물,충북,합계,2123659
2019,석회석광물,충남,반입,1186430
2019,석회석광물,충남,반출,145489
2019,석회석광물,충남,합계,1331919
2019,석회석광물,전북,반입,723373
2019,석회석광물,전북,반출,0
2019,석회석광물,전북,합계,723373
2019,석회석광물,전남,반입,416773
2019,석회석광물,전남,반출,648617
2019,석회석광물,전남,합계,1065390
2019,석회석광물,경북,반입,228062
2019,석회석광물,경북,반출,652730
2019,석회석광물,경북,합계,880792
2019,석회석광물,경남,반입,1838218
2019,석회석광물,경남,반출,0
2019,석회석광물,경남,합계,1838218
2019,석회석광물,제주,반입,0
2019,석회석광물,제주,반출,0
2019,석회석광물,제주,합계,0
2019,비금속광물,서울,반입,5048061
2019,비금속광물,서울,반출,0
2019,비금속광물,서울,합계,5048061
2019,비금속광물,부산,반입,6545105
2019,비금속광물,부산,반출,564303
2019,비금속광물,부산,합계,7109408
2019,비금속광물,대구,반입,5106903
2019,비금속광물,대구,반출,295576
2019,비금속광물,대구,합계,5402479
2019,비금속광물,인천,반입,8484990
2019,비금속광물,인천,반출,4815938
2019,비금속광물,인천,합계,13300928
2019,비금속광물,광주,반입,1718177
2019,비금속광물,광주,반출,7199
2019,비금속광물,광주,합계,1725376
2019,비금속광물,세종,반입,2800368
2019,비금속광물,세종,반출,4874636
2019,비금속광물,세종,합계,7675004
2019,비금속광물,대전,반입,2823929
2019,비금속광물,대전,반출,0
2019,비금속광물,대전,합계,2823929
2019,비금속광물,울산,반입,1546431
2019,비금속광물,울산,반출,15254702
2019,비금속광물,울산,합계,16801133
2019,비금속광물,경기,반입,34808695
2019,비금속광물,경기,반출,14225337
2019,비금속광물,경기,합계,49034032
2019,비금속광물,강원,반입,14483033
2019,비금속광물,강원,반출,18404305
2019,비금속광물,강원,합계,32887338
2019,비금속광물,충북,반입,15293297
2019,비금속광물,충북,반출,16772466
2019,비금속광물,충북,합계,32065763
2019,비금속광물,충남,반입,15015314
2019,비금속광물,충남,반출,13027027
2019,비금속광물,충남,합계,28042341
2019,비금속광물,전북,반입,8191197
2019,비금속광물,전북,반출,11279126
2019,비금속광물,전북,합계,19470323
2019,비금속광물,전남,반입,9148708
2019,비금속광물,전남,반출,20388819
2019,비금속광물,전남,합계,29537527
2019,비금속광물,경북,반입,15342553
2019,비금속광물,경북,반출,13460432
2019,비금속광물,경북,합계,28802985
2019,비금속광물,경남,반입,7365682
2019,비금속광물,경남,반출,20352577
2019,비금속광물,경남,합계,27718259
2019,비금속광물,제주,반입,0
2019,비금속광물,제주,반출,0
2019,비금속광물,제주,합계,0
2019,음식료품,서울,반입,3743407
2019,음식료품,서울,반출,322445
2019,음식료품,서울,합계,4065852
2019,음식료품,부산,반입,959816
2019,음식료품,부산,반출,771802
2019,음식료품,부산,합계,1731618
2019,음식료품,대구,반입,704109
2019,음식료품,대구,반출,337108
2019,음식료품,대구,합계,1041217
2019,음식료품,인천,반입,1184426
2019,음식료품,인천,반출,1081779
2019,음식료품,인천,합계,2266205
2019,음식료품,광주,반입,483636
2019,음식료품,광주,반출,204201
2019,음식료품,광주,합계,687837
2019,음식료품,세종,반입,193072
2019,음식료품,세종,반출,464070
2019,음식료품,세종,합계,657142
2019,음식료품,대전,반입,681286
2019,음식료품,대전,반출,109476
2019,음식료품,대전,합계,790762
2019,음식료품,울산,반입,381534
2019,음식료품,울산,반출,956253
2019,음식료품,울산,합계,1337787
2019,음식료품,경기,반입,2970061
2019,음식료품,경기,반출,7045119
2019,음식료품,경기,합계,10015180
2019,음식료품,강원,반입,1044536
2019,음식료품,강원,반출,1119144
2019,음식료품,강원,합계,2163680
2019,음식료품,충북,반입,2557838
2019,음식료품,충북,반출,1100931
2019,음식료품,충북,합계,3658769
2019,음식료품,충남,반입,2894956
2019,음식료품,충남,반출,2032562
2019,음식료품,충남,합계,4927518
2019,음식료품,전북,반입,1265959
2019,음식료품,전북,반출,2821633
2019,음식료품,전북,합계,4087592
2019,음식료품,전남,반입,1251732
2019,음식료품,전남,반출,1293717
2019,음식료품,전남,합계,2545449
2019,음식료품,경북,반입,1715667
2019,음식료품,경북,반출,1244537
2019,음식료품,경북,합계,2960204
2019,음식료품,경남,반입,1710738
2019,음식료품,경남,반출,2837996
2019,음식료품,경남,합계,4548734
2019,음식료품,제주,반입,0
2019,음식료품,제주,반출,0
2019,음식료품,제주,합계,0
2019,담배제품,서울,반입,11432
2019,담배제품,서울,반출,0
2019,담배제품,서울,합계,11432
2019,담배제품,부산,반입,4160
2019,담배제품,부산,반출,310
2019,담배제품,부산,합계,4470
2019,담배제품,대구,반입,2624
2019,담배제품,대구,반출,0
2019,담배제품,대구,합계,2624
2019,담배제품,인천,반입,2969
2019,담배제품,인천,반출,903
2019,담배제품,인천,합계,3872
2019,담배제품,광주,반입,115
2019,담배제품,광주,반출,7097
2019,담배제품,광주,합계,7212
2019,담배제품,세종,반입,174
2019,담배제품,세종,반출,0
2019,담배제품,세종,합계,174
2019,담배제품,대전,반입,1545
2019,담배제품,대전,반출,10778
2019,담배제품,대전,합계,12323
2019,담배제품,울산,반입,1364
2019,담배제품,울산,반출,0
2019,담배제품,울산,합계,1364
2019,담배제품,경기,반입,12711
2019,담배제품,경기,반출,0
2019,담배제품,경기,합계,12711
2019,담배제품,강원,반입,1630
2019,담배제품,강원,반출,0
2019,담배제품,강원,합계,1630
2019,담배제품,충북,반입,1562
2019,담배제품,충북,반출,0
2019,담배제품,충북,합계,1562
2019,담배제품,충남,반입,1919
2019,담배제품,충남,반출,0
2019,담배제품,충남,합계,1919
2019,담배제품,전북,반입,1832
2019,담배제품,전북,반출,0
2019,담배제품,전북,합계,1832
2019,담배제품,전남,반입,1816
2019,담배제품,전남,반출,0
2019,담배제품,전남,합계,1816
2019,담배제품,경북,반입,1904
2019,담배제품,경북,반출,15146
2019,담배제품,경북,합계,17050
2019,담배제품,경남,반입,1871
2019,담배제품,경남,반출,15394
2019,담배제품,경남,합계,17265
2019,담배제품,제주,반입,0
2019,담배제품,제주,반출,0
2019,담배제품,제주,합계,0
2019,섬유제품; 의복제외,서울,반입,2307644
2019,섬유제품; 의복제외,서울,반출,131489
2019,섬유제품; 의복제외,서울,합계,2439133
2019,섬유제품; 의복제외,부산,반입,179526
2019,섬유제품; 의복제외,부산,반출,238517
2019,섬유제품; 의복제외,부산,합계,418043
2019,섬유제품; 의복제외,대구,반입,78637
2019,섬유제품; 의복제외,대구,반출,1173265
2019,섬유제품; 의복제외,대구,합계,1251902
2019,섬유제품; 의복제외,인천,반입,156103
2019,섬유제품; 의복제외,인천,반출,86283
2019,섬유제품; 의복제외,인천,합계,242386
2019,섬유제품; 의복제외,광주,반입,73844
2019,섬유제품; 의복제외,광주,반출,44943
2019,섬유제품; 의복제외,광주,합계,118787
2019,섬유제품; 의복제외,세종,반입,11619
2019,섬유제품; 의복제외,세종,반출,7990
2019,섬유제품; 의복제외,세종,합계,19609
2019,섬유제품; 의복제외,대전,반입,76560
2019,섬유제품; 의복제외,대전,반출,33993
2019,섬유제품; 의복제외,대전,합계,110553
2019,섬유제품; 의복제외,울산,반입,101732
2019,섬유제품; 의복제외,울산,반출,51477
2019,섬유제품; 의복제외,울산,합계,153209
2019,섬유제품; 의복제외,경기,반입,738316
2019,섬유제품; 의복제외,경기,반출,1182442
2019,섬유제품; 의복제외,경기,합계,1920758
2019,섬유제품; 의복제외,강원,반입,62791
2019,섬유제품; 의복제외,강원,반출,4436
2019,섬유제품; 의복제외,강원,합계,67227
2019,섬유제품; 의복제외,충북,반입,120497
2019,섬유제품; 의복제외,충북,반출,112052
2019,섬유제품; 의복제외,충북,합계,232549
2019,섬유제품; 의복제외,충남,반입,154609
2019,섬유제품; 의복제외,충남,반출,287933
2019,섬유제품; 의복제외,충남,합계,442542
2019,섬유제품; 의복제외,전북,반입,110801
2019,섬유제품; 의복제외,전북,반출,111520
2019,섬유제품; 의복제외,전북,합계,222321
2019,섬유제품; 의복제외,전남,반입,100571
2019,섬유제품; 의복제외,전남,반출,67878
2019,섬유제품; 의복제외,전남,합계,168449
2019,섬유제품; 의복제외,경북,반입,237114
2019,섬유제품; 의복제외,경북,반출,942518
2019,섬유제품; 의복제외,경북,합계,1179632
2019,섬유제품; 의복제외,경남,반입,227788
2019,섬유제품; 의복제외,경남,반출,261416
2019,섬유제품; 의복제외,경남,합계,489204
2019,섬유제품; 의복제외,제주,반입,0
2019,섬유제품; 의복제외,제주,반출,0
2019,섬유제품; 의복제외,제주,합계,0
2019,"의복, 의복 액세서리 및 모피제품",서울,반입,55220
2019,"의복, 의복 액세서리 및 모피제품",서울,반출,931270
2019,"의복, 의복 액세서리 및 모피제품",서울,합계,986490
2019,"의복, 의복 액세서리 및 모피제품",부산,반입,52286
2019,"의복, 의복 액세서리 및 모피제품",부산,반출,29729
2019,"의복, 의복 액세서리 및 모피제품",부산,합계,82015
2019,"의복, 의복 액세서리 및 모피제품",대구,반입,79588
2019,"의복, 의복 액세서리 및 모피제품",대구,반출,13338
2019,"의복, 의복 액세서리 및 모피제품",대구,합계,92926
2019,"의복, 의복 액세서리 및 모피제품",인천,반입,103329
2019,"의복, 의복 액세서리 및 모피제품",인천,반출,16206
2019,"의복, 의복 액세서리 및 모피제품",인천,합계,119535
2019,"의복, 의복 액세서리 및 모피제품",광주,반입,31118
2019,"의복, 의복 액세서리 및 모피제품",광주,반출,541
2019,"의복, 의복 액세서리 및 모피제품",광주,합계,31659
2019,"의복, 의복 액세서리 및 모피제품",세종,반입,4171
2019,"의복, 의복 액세서리 및 모피제품",세종,반출,528
2019,"의복, 의복 액세서리 및 모피제품",세종,합계,4699
2019,"의복, 의복 액세서리 및 모피제품",대전,반입,30133
2019,"의복, 의복 액세서리 및 모피제품",대전,반출,1363
2019,"의복, 의복 액세서리 및 모피제품",대전,합계,31496
2019,"의복, 의복 액세서리 및 모피제품",울산,반입,42591
2019,"의복, 의복 액세서리 및 모피제품",울산,반출,700
2019,"의복, 의복 액세서리 및 모피제품",울산,합계,43291
2019,"의복, 의복 액세서리 및 모피제품",경기,반입,393945
2019,"의복, 의복 액세서리 및 모피제품",경기,반출,134572
2019,"의복, 의복 액세서리 및 모피제품",경기,합계,528517
2019,"의복, 의복 액세서리 및 모피제품",강원,반입,23854
2019,"의복, 의복 액세서리 및 모피제품",강원,반출,916
2019,"의복, 의복 액세서리 및 모피제품",강원,합계,24770
2019,"의복, 의복 액세서리 및 모피제품",충북,반입,45126
2019,"의복, 의복 액세서리 및 모피제품",충북,반출,5997
2019,"의복, 의복 액세서리 및 모피제품",충북,합계,51123
2019,"의복, 의복 액세서리 및 모피제품",충남,반입,63720
2019,"의복, 의복 액세서리 및 모피제품",충남,반출,12885
2019,"의복, 의복 액세서리 및 모피제품",충남,합계,76605
2019,"의복, 의복 액세서리 및 모피제품",전북,반입,27005
