"year","base_city","base_region_kr","base_region_en","target_city","target_region_kr","target_region_en","direction","cargo_volume","ratio"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","464930","0.19"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","108438","0.05"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","890142","0.37"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","도착","1179669","0.43"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","도착","129262","0.05"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","도착","1631557","0.60"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","출발","1000850","0.42"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","출발","945603","0.39"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","출발","147691","0.06"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","도착","964371","0.35"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","도착","754804","0.28"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","도착","117059","0.04"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","출발","2535641","1.06"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","출발","1576999","0.66"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","출발","607431","0.25"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","부산","영남권","Yeongnam","도착","553008","0.20"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","부산","영남권","Yeongnam","도착","4149408","1.53"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","부산","영남권","Yeongnam","도착","3945331","1.45"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","부산","영남권","Yeongnam","출발","5235730","2.18"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","부산","영남권","Yeongnam","출발","449627","0.19"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","부산","영남권","Yeongnam","출발","3227865","1.34"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","서울","수도권","Capital Area","도착","1086555","0.40"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","서울","수도권","Capital Area","도착","1608799","0.59"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","서울","수도권","Capital Area","도착","117497","0.04"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","서울","수도권","Capital Area","출발","3218660","1.34"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","서울","수도권","Capital Area","출발","323739","0.13"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","서울","수도권","Capital Area","출발","1846122","0.77"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","도착","2363623","0.87"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","도착","3494556","1.29"
