"year","date","industry","region_kr","region_en","avg_index","index_share_pct"
"2019","2019-05-01","총지수","충청권","Chungcheong",98.22,16.24
"2019","2019-05-01","총지수","호남권","Honam",96.59,15.97
"2019","2019-06-01","총지수","전국","Nationwide",99.13,100
"2019","2019-06-01","총지수","기타","Others",98.91,16.64
"2019","2019-06-01","총지수","대전","Daejeon",95.98,16.15
"2019","2019-06-01","총지수","수도권","Capital Area",102.15,17.19
"2019","2019-06-01","총지수","영남권","Yeongnam",103.38,17.39
"2019","2019-06-01","총지수","충청권","Chungcheong",97.57,16.42
"2019","2019-06-01","총지수","호남권","Honam",96.33,16.21
"2019","2019-07-01","총지수","전국","Nationwide",101.87,100
"2019","2019-07-01","총지수","기타","Others",101.34,16.59
"2019","2019-07-01","총지수","대전","Daejeon",102.72,16.81
"2019","2019-07-01","총지수","수도권","Capital Area",103.27,16.9
"2019","2019-07-01","총지수","영남권","Yeongnam",104.89,17.17
"2019","2019-07-01","총지수","충청권","Chungcheong",100.08,16.38
"2019","2019-07-01","총지수","호남권","Honam",98.64,16.15
"2019","2019-08-01","총지수","전국","Nationwide",99.96,100
"2019","2019-08-01","총지수","기타","Others",100.59,16.78
"2019","2019-08-01","총지수","대전","Daejeon",100.11,16.7
"2019","2019-08-01","총지수","수도권","Capital Area",100.74,16.81
"2019","2019-08-01","총지수","영남권","Yeongnam",103.53,17.27
"2019","2019-08-01","총지수","충청권","Chungcheong",98.11,16.37
"2019","2019-08-01","총지수","호남권","Honam",96.35,16.07
"2019","2019-09-01","총지수","전국","Nationwide",101.98,100
"2019","2019-09-01","총지수","기타","Others",101.6,16.61
"2019","2019-09-01","총지수","대전","Daejeon",106.15,17.36
"2019","2019-09-01","총지수","수도권","Capital Area",101.74,16.64
"2019","2019-09-01","총지수","영남권","Yeongnam",103.49,16.92
"2019","2019-09-01","총지수","충청권","Chungcheong",99.83,16.33
"2019","2019-09-01","총지수","호남권","Honam",98.7,16.14
"2019","2019-10-01","총지수","전국","Nationwide",102.92,99.98
"2019","2019-10-01","총지수","기타","Others",103.27,16.75
"2019","2019-10-01","총지수","대전","Daejeon",111,18
"2019","2019-10-01","총지수","수도권","Capital Area",101.01,16.38
"2019","2019-10-01","총지수","영남권","Yeongnam",103.27,16.75
"2019","2019-10-01","총지수","충청권","Chungcheong",100.46,16.29
"2019","2019-10-01","총지수","호남권","Honam",97.5,15.81
"2019","2019-11-01","총지수","전국","Nationwide",100.66,100
"2019","2019-11-01","총지수","기타","Others",102.36,16.95
"2019","2019-11-01","총지수","대전","Daejeon",99.65,16.51
"2019","2019-11-01","총지수","수도권","Capital Area",103.06,17.07
"2019","2019-11-01","총지수","영남권","Yeongnam",101.93,16.88
"2019","2019-11-01","총지수","충청권","Chungcheong",99.2,16.43
"2019","2019-11-01","총지수","호남권","Honam",97.55,16.16
"2019","2019-12-01","총지수","전국","Nationwide",100.72,99.98
"2019","2019-12-01","총지수","기타","Others",101.29,16.77
"2019","2019-12-01","총지수","대전","Daejeon",97.67,16.17
"2019","2019-12-01","총지수","수도권","Capital Area",104.6,17.32
"2019","2019-12-01","총지수","영남권","Yeongnam",102.86,17.03
"2019","2019-12-01","총지수","충청권","Chungcheong",100.51,16.64
"2019","2019-12-01","총지수","호남권","Honam",96.94,16.05
"2020","2020-01-01","총지수","전국","Nationwide",101.52,100.01
"2020","2020-01-01","총지수","기타","Others",97.77,16.06
"2020","2020-01-01","총지수","대전","Daejeon",104.03,17.09
"2020","2020-01-01","총지수","수도권","Capital Area",103.82,17.06
"2020","2020-01-01","총지수","영남권","Yeongnam",103.39,16.99
"2020","2020-01-01","총지수","충청권","Chungcheong",97.89,16.08
"2020","2020-01-01","총지수","호남권","Honam",101.81,16.73
"2020","2020-02-01","총지수","전국","Nationwide",97.44,100
"2020","2020-02-01","총지수","기타","Others",98.87,16.92
"2020","2020-02-01","총지수","대전","Daejeon",93.7,16.03
"2020","2020-02-01","총지수","수도권","Capital Area",98.11,16.79
"2020","2020-02-01","총지수","영남권","Yeongnam",98.73,16.89
"2020","2020-02-01","총지수","충청권","Chungcheong",96.7,16.55
"2020","2020-02-01","총지수","호남권","Honam",98.32,16.82
"2020","2020-03-01","총지수","전국","Nationwide",100.25,99.99
"2020","2020-03-01","총지수","기타","Others",99.6,16.56
"2020","2020-03-01","총지수","대전","Daejeon",97.83,16.27
"2020","2020-03-01","총지수","수도권","Capital Area",99.91,16.61
"2020","2020-03-01","총지수","영남권","Yeongnam",103.14,17.15
"2020","2020-03-01","총지수","충청권","Chungcheong",99.18,16.49
"2020","2020-03-01","총지수","호남권","Honam",101.68,16.91
"2020","2020-04-01","총지수","전국","Nationwide",98.96,100
"2020","2020-04-01","총지수","기타","Others",99.74,16.8
"2020","2020-04-01","총지수","대전","Daejeon",97.17,16.37
"2020","2020-04-01","총지수","수도권","Capital Area",99.2,16.71
"2020","2020-04-01","총지수","영남권","Yeongnam",100.36,16.9
"2020","2020-04-01","총지수","충청권","Chungcheong",98.53,16.6
"2020","2020-04-01","총지수","호남권","Honam",98.7,16.62
"2020","2020-05-01","총지수","전국","Nationwide",92.83,99.99
"2020","2020-05-01","총지수","기타","Others",92.18,16.55
"2020","2020-05-01","총지수","대전","Daejeon",90.77,16.3
"2020","2020-05-01","총지수","수도권","Capital Area",95.43,17.14
"2020","2020-05-01","총지수","영남권","Yeongnam",92.33,16.58
"2020","2020-05-01","총지수","충청권","Chungcheong",93.68,16.82
"2020","2020-05-01","총지수","호남권","Honam",92.44,16.6
"2020","2020-06-01","총지수","전국","Nationwide",97.77,100
"2020","2020-06-01","총지수","기타","Others",97.84,16.68
"2020","2020-06-01","총지수","대전","Daejeon",100.17,17.08
"2020","2020-06-01","총지수","수도권","Capital Area",98.36,16.77
"2020","2020-06-01","총지수","영남권","Yeongnam",97.19,16.57
"2020","2020-06-01","총지수","충청권","Chungcheong",96.79,16.5
"2020","2020-06-01","총지수","호남권","Honam",96.17,16.4
"2020","2020-07-01","총지수","전국","Nationwide",100.06,100
"2020","2020-07-01","총지수","기타","Others",99.96,16.65
"2020","2020-07-01","총지수","대전","Daejeon",101.33,16.88
"2020","2020-07-01","총지수","수도권","Capital Area",98.64,16.43
"2020","2020-07-01","총지수","영남권","Yeongnam",100.6,16.76
"2020","2020-07-01","총지수","충청권","Chungcheong",98.8,16.46
"2020","2020-07-01","총지수","호남권","Honam",100.94,16.82
"2020","2020-08-01","총지수","전국","Nationwide",101.19,100
"2020","2020-08-01","총지수","기타","Others",103.12,16.99
"2020","2020-08-01","총지수","대전","Daejeon",102.47,16.88
"2020","2020-08-01","총지수","수도권","Capital Area",101.04,16.64
"2020","2020-08-01","총지수","영남권","Yeongnam",98.63,16.25
"2020","2020-08-01","총지수","충청권","Chungcheong",100.9,16.62
"2020","2020-08-01","총지수","호남권","Honam",100.87,16.62
"2020","2020-09-01","총지수","전국","Nationwide",101.94,99.99
"2020","2020-09-01","총지수","기타","Others",102.29,16.72
"2020","2020-09-01","총지수","대전","Daejeon",101.23,16.55
"2020","2020-09-01","총지수","수도권","Capital Area",102.2,16.71
"2020","2020-09-01","총지수","영남권","Yeongnam",100.21,16.38
"2020","2020-09-01","총지수","충청권","Chungcheong",102.56,16.77
"2020","2020-09-01","총지수","호남권","Honam",103.12,16.86
