"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","구분","logistics_type","물동량"
"2023","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","20278946"
"2023","호남권","Honam","대전시","Daejeon","출발","권역 간","1893189"
"2023","호남권","Honam","기타","Others","출발","권역 간","2971577"
"2023","대전시","Daejeon","수도권","Capital Area","출발","권역 간","596435"
"2023","대전시","Daejeon","영남권","Yeongnam","출발","권역 간","1789155"
"2023","대전시","Daejeon","호남권","Honam","출발","권역 간","250779"
"2023","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","450200"
"2023","대전시","Daejeon","대전시","Daejeon","출발","권역 내","744614"
"2023","대전시","Daejeon","기타","Others","출발","권역 간","28579"
"2023","기타","Others","수도권","Capital Area","출발","권역 간","20426069"
"2023","기타","Others","영남권","Yeongnam","출발","권역 간","24948682"
"2023","기타","Others","호남권","Honam","출발","권역 간","7470628"
"2023","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","14252327"
"2023","기타","Others","대전시","Daejeon","출발","권역 간","1015145"
"2023","기타","Others","기타","Others","출발","권역 내","65371676"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","출발","권역 간","56550139"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","권역 간","53843158"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","권역 간","23803825"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 내","124210324"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","권역 간","7679776"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","권역 간","7245042"
"2019","수도권","Capital Area","수도권","Capital Area","도착","권역 내","397356394"
"2019","영남권","Yeongnam","수도권","Capital Area","도착","권역 간","54179313"
"2019","호남권","Honam","수도권","Capital Area","도착","권역 간","16678459"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","도착","권역 간","70184165"
"2019","대전시","Daejeon","수도권","Capital Area","도착","권역 간","3729834"
"2019","기타","Others","수도권","Capital Area","도착","권역 간","10537709"
"2019","수도권","Capital Area","영남권","Yeongnam","도착","권역 간","57659534"
"2019","영남권","Yeongnam","영남권","Yeongnam","도착","권역 내","480370665"
"2019","호남권","Honam","영남권","Yeongnam","도착","권역 간","27733132"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","도착","권역 간","35896435"
"2019","대전시","Daejeon","영남권","Yeongnam","도착","권역 간","3354507"
"2019","기타","Others","영남권","Yeongnam","도착","권역 간","8962829"
"2019","수도권","Capital Area","호남권","Honam","도착","권역 간","34863778"
"2019","영남권","Yeongnam","호남권","Honam","도착","권역 간","49214926"
"2019","호남권","Honam","호남권","Honam","도착","권역 내","208332405"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","도착","권역 간","33238823"
"2019","대전시","Daejeon","호남권","Honam","도착","권역 간","3508645"
"2019","기타","Others","호남권","Honam","도착","권역 간","5644414"
"2019","수도권","Capital Area","대전시","Daejeon","도착","권역 간","1297893"
"2019","영남권","Yeongnam","대전시","Daejeon","도착","권역 간","2459276"
"2019","호남권","Honam","대전시","Daejeon","도착","권역 간","557779"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","권역 간","1770480"
"2019","대전시","Daejeon","대전시","Daejeon","도착","권역 내","3866207"
"2019","기타","Others","대전시","Daejeon","도착","권역 간","113745"
"2019","수도권","Capital Area","기타","Others","도착","권역 간","17686987"
"2019","영남권","Yeongnam","기타","Others","도착","권역 간","12469598"
"2019","호남권","Honam","기타","Others","도착","권역 간","3970533"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","권역 간","10532933"
"2019","대전시","Daejeon","기타","Others","도착","권역 간","625769"
"2019","기타","Others","기타","Others","도착","권역 내","49367497"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","52013098"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","33588169"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","15063309"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 내","128642496"
"2019","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","4555267"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","7210444"
"2020","수도권","Capital Area","수도권","Capital Area","도착","권역 내","403094502"
"2020","영남권","Yeongnam","수도권","Capital Area","도착","권역 간","54888002"
"2020","호남권","Honam","수도권","Capital Area","도착","권역 간","17447486"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","도착","권역 간","71538051"
"2020","대전시","Daejeon","수도권","Capital Area","도착","권역 간","4024054"
"2020","기타","Others","수도권","Capital Area","도착","권역 간","11144845"
"2020","수도권","Capital Area","영남권","Yeongnam","도착","권역 간","49313358"
"2020","영남권","Yeongnam","영남권","Yeongnam","도착","권역 내","444325663"
"2020","호남권","Honam","영남권","Yeongnam","도착","권역 간","24659762"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","도착","권역 간","31080333"
"2020","대전시","Daejeon","영남권","Yeongnam","도착","권역 간","3001530"
"2020","기타","Others","영남권","Yeongnam","도착","권역 간","6538440"
"2020","수도권","Capital Area","호남권","Honam","도착","권역 간","32171448"
"2020","영남권","Yeongnam","호남권","Honam","도착","권역 간","50779717"
"2020","호남권","Honam","호남권","Honam","도착","권역 내","199797111"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","도착","권역 간","31706275"
"2020","대전시","Daejeon","호남권","Honam","도착","권역 간","3410604"
"2020","기타","Others","호남권","Honam","도착","권역 간","5095351"
"2020","수도권","Capital Area","대전시","Daejeon","도착","권역 간","1356074"
"2020","영남권","Yeongnam","대전시","Daejeon","도착","권역 간","2522222"
"2020","호남권","Honam","대전시","Daejeon","도착","권역 간","614223"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","권역 간","1836234"
"2020","대전시","Daejeon","대전시","Daejeon","도착","권역 내","4042179"
"2020","기타","Others","대전시","Daejeon","도착","권역 간","119361"
"2020","수도권","Capital Area","기타","Others","도착","권역 간","17653239"
"2020","영남권","Yeongnam","기타","Others","도착","권역 간","14531543"
"2020","호남권","Honam","기타","Others","도착","권역 간","4413898"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","권역 간","11191961"
"2020","대전시","Daejeon","기타","Others","도착","권역 간","668926"
"2020","기타","Others","기타","Others","도착","권역 내","45752412"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","51712753"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","35773083"
"2020","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","16106371"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 내","124533792"
"2020","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","4720071"
"2020","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","7348345"
"2021","수도권","Capital Area","수도권","Capital Area","도착","권역 내","434759082"
"2021","영남권","Yeongnam","수도권","Capital Area","도착","권역 간","63159515"
"2021","호남권","Honam","수도권","Capital Area","도착","권역 간","21074366"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","도착","권역 간","79030755"
"2021","대전시","Daejeon","수도권","Capital Area","도착","권역 간","4565589"
"2021","기타","Others","수도권","Capital Area","도착","권역 간","15011821"
"2021","수도권","Capital Area","영남권","Yeongnam","도착","권역 간","47394968"
"2021","영남권","Yeongnam","영남권","Yeongnam","도착","권역 내","455481341"
"2021","호남권","Honam","영남권","Yeongnam","도착","권역 간","23911225"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","도착","권역 간","30110360"
"2021","대전시","Daejeon","영남권","Yeongnam","도착","권역 간","2926366"
"2021","기타","Others","영남권","Yeongnam","도착","권역 간","5815432"
"2021","수도권","Capital Area","호남권","Honam","도착","권역 간","30521247"
"2021","영남권","Yeongnam","호남권","Honam","도착","권역 간","53408177"
"2021","호남권","Honam","호남권","Honam","도착","권역 내","205736886"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","도착","권역 간","31717374"
"2021","대전시","Daejeon","호남권","Honam","도착","권역 간","3519874"
"2021","기타","Others","호남권","Honam","도착","권역 간","4870518"
"2021","수도권","Capital Area","대전시","Daejeon","도착","권역 간","1300428"
"2021","영남권","Yeongnam","대전시","Daejeon","도착","권역 간","2601990"
"2021","호남권","Honam","대전시","Daejeon","도착","권역 간","538186"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","권역 간","1702088"
"2021","대전시","Daejeon","대전시","Daejeon","도착","권역 내","4041811"
"2021","기타","Others","대전시","Daejeon","도착","권역 간","113149"
"2021","수도권","Capital Area","기타","Others","도착","권역 간","13564660"
"2021","영남권","Yeongnam","기타","Others","도착","권역 간","13697129"
"2021","호남권","Honam","기타","Others","도착","권역 간","4097092"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","권역 간","9772141"
"2021","대전시","Daejeon","기타","Others","도착","권역 간","610815"
"2021","기타","Others","기타","Others","도착","권역 내","43614886"
"2021","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","48114190"
"2021","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","38787295"
"2021","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","17551243"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 내","122444980"
"2021","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","4919689"
