"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2019","울산","Yeongnam","영남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","1943008","권역 간"
"2019","울산","Yeongnam","영남권","전북","Honam","호남권","879507","권역 간"
"2019","울산","Yeongnam","영남권","전남","Honam","호남권","2254678","권역 간"
"2019","울산","Yeongnam","영남권","경북","Yeongnam","영남권","7247116","권역 내"
"2019","울산","Yeongnam","영남권","경남","Yeongnam","영남권","5353531","권역 내"
"2019","울산","Yeongnam","영남권","제주","Others","기타","0","권역 간"
"2019","경기","Capital Area","수도권","서울","Capital Area","수도권","21074934","권역 내"
"2019","경기","Capital Area","수도권","부산","Yeongnam","영남권","17673485","권역 간"
"2019","경기","Capital Area","수도권","대구","Yeongnam","영남권","1450458","권역 간"
"2019","경기","Capital Area","수도권","인천","Capital Area","수도권","20788596","권역 내"
"2019","경기","Capital Area","수도권","광주","Honam","호남권","1218139","권역 간"
"2019","경기","Capital Area","수도권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","1309630","권역 간"
"2019","경기","Capital Area","수도권","대전","Daejeon","대전시","2587443","권역 간"
"2019","경기","Capital Area","수도권","울산","Yeongnam","영남권","4406035","권역 간"
"2019","경기","Capital Area","수도권","경기","Capital Area","수도권","140813006","권역 내"
"2019","경기","Capital Area","수도권","강원","Others","기타","6822992","권역 간"
"2019","경기","Capital Area","수도권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","12765606","권역 간"
"2019","경기","Capital Area","수도권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","38981676","권역 간"
"2019","경기","Capital Area","수도권","전북","Honam","호남권","4279625","권역 간"
"2019","경기","Capital Area","수도권","전남","Honam","호남권","4901792","권역 간"
"2019","경기","Capital Area","수도권","경북","Yeongnam","영남권","9515318","권역 간"
"2019","경기","Capital Area","수도권","경남","Yeongnam","영남권","5067318","권역 간"
"2019","경기","Capital Area","수도권","제주","Others","기타","0","권역 간"
"2019","강원","Others","기타","서울","Capital Area","수도권","2074430","권역 간"
"2019","강원","Others","기타","부산","Yeongnam","영남권","1401706","권역 간"
"2019","강원","Others","기타","대구","Yeongnam","영남권","709912","권역 간"
"2019","강원","Others","기타","인천","Capital Area","수도권","1983727","권역 간"
"2019","강원","Others","기타","광주","Honam","호남권","332855","권역 간"
"2019","강원","Others","기타","세종","Chungcheong(excl. DJ)","충청권(대전제외)","463985","권역 간"
"2019","강원","Others","기타","대전","Daejeon","대전시","625769","권역 간"
"2019","강원","Others","기타","울산","Yeongnam","영남권","1805151","권역 간"
"2019","강원","Others","기타","경기","Capital Area","수도권","13628830","권역 간"
"2019","강원","Others","기타","강원","Others","기타","39990838","권역 내"
"2019","강원","Others","기타","충북","Chungcheong(excl. DJ)","충청권(대전제외)","5259809","권역 간"
"2019","강원","Others","기타","충남","Chungcheong(excl. DJ)","충청권(대전제외)","4809139","권역 간"
"2019","강원","Others","기타","전북","Honam","호남권","1462522","권역 간"
"2019","강원","Others","기타","전남","Honam","호남권","2175156","권역 간"
"2019","강원","Others","기타","경북","Yeongnam","영남권","6508647","권역 간"
"2019","강원","Others","기타","경남","Yeongnam","영남권","2044182","권역 간"
"2019","강원","Others","기타","제주","Others","기타","0","권역 내"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","서울","Capital Area","수도권","1922404","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","부산","Yeongnam","영남권","3241416","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","대구","Yeongnam","영남권","830068","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","인천","Capital Area","수도권","1761043","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","광주","Honam","호남권","463549","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","세종","Chungcheong(excl. DJ)","충청권(대전제외)","1347315","권역 내"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","대전","Daejeon","대전시","1557682","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","울산","Yeongnam","영남권","2281546","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","경기","Capital Area","수도권","13222806","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","강원","Others","기타","4329075","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","충북","Chungcheong(excl. DJ)","충청권(대전제외)","18410833","권역 내"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","충남","Chungcheong(excl. DJ)","충청권(대전제외)","8437910","권역 내"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","전북","Honam","호남권","1920330","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","전남","Honam","호남권","2547119","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","경북","Yeongnam","영남권","5695639","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","경남","Yeongnam","영남권","2472561","권역 간"
"2019","충북","Chungcheong(excl. DJ)","충청권(대전제외)","제주","Others","기타","0","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","서울","Capital Area","수도권","3049702","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","부산","Yeongnam","영남권","5258050","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","대구","Yeongnam","영남권","831398","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","인천","Capital Area","수도권","3522537","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","광주","Honam","호남권","831753","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","세종","Chungcheong(excl. DJ)","충청권(대전제외)","1491311","권역 내"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","대전","Daejeon","대전시","2347961","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","울산","Yeongnam","영남권","2488740","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","경기","Capital Area","수도권","24584563","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","강원","Others","기타","2325474","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","충북","Chungcheong(excl. DJ)","충청권(대전제외)","6631537","권역 내"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","충남","Chungcheong(excl. DJ)","충청권(대전제외)","81175357","권역 내"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","전북","Honam","호남권","4327955","권역 간"
"2019","충남","Chungcheong(excl. DJ)","충청권(대전제외)","전남","Honam","호남권","3659474","권역 간"
