"year","commodity","city","flow_type","cargo_volume","commodity_category","region_kr","region_en"
"2019","임산물","경남","합계","692666","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","제주","반입","0","농축수산물 및 신선식품","기타","Others"
"2019","임산물","제주","반출","0","농축수산물 및 신선식품","기타","Others"
"2019","임산물","제주","합계","0","농축수산물 및 신선식품","기타","Others"
"2019","수산물","서울","반입","237623","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","서울","반출","129","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","서울","합계","237752","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","부산","반입","670913","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","부산","반출","111513","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","부산","합계","782426","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","대구","반입","75172","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","대구","반출","98","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","대구","합계","75270","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","인천","반입","103512","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","인천","반출","41327","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","인천","합계","144839","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","광주","반입","38617","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","광주","반출","155","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","광주","합계","38772","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","세종","반입","5074","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","세종","반출","244","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","세종","합계","5318","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","대전","반입","51807","농축수산물 및 신선식품","대전시","Daejeon"
"2019","수산물","대전","반출","109","농축수산물 및 신선식품","대전시","Daejeon"
"2019","수산물","대전","합계","51916","농축수산물 및 신선식품","대전시","Daejeon"
"2019","수산물","울산","반입","36112","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","울산","반출","22579","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","울산","합계","58691","농축수산물 및 신선식품","영남권","Yeongnam"
