"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","logistics_type","물동량"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","696250"
"2019","호남권","Honam","대전시","Daejeon","권역 간","1989114"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","1927584"
"2019","호남권","Honam","수도권","Capital Area","권역 간","10665850"
"2019","호남권","Honam","기타","Others","권역 간","2208814"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4676695"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","9766402"
"2019","호남권","Honam","호남권","Honam","권역 내","36267802"
"2019","호남권","Honam","호남권","Honam","권역 내","8846343"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","6027876"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","4536023"
"2019","호남권","Honam","기타","Others","권역 간","0"
"2019","호남권","Honam","수도권","Capital Area","권역 간","2058909"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","3911614"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","1525855"
"2019","호남권","Honam","수도권","Capital Area","권역 간","2260270"
"2019","호남권","Honam","호남권","Honam","권역 내","7048069"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1676843"
"2019","호남권","Honam","대전시","Daejeon","권역 간","1308980"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","4408399"
"2019","호남권","Honam","수도권","Capital Area","권역 간","13449679"
"2019","호남권","Honam","기타","Others","권역 간","3266261"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","5782148"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","9043056"
"2019","호남권","Honam","호남권","Honam","권역 내","8730761"
"2019","호남권","Honam","호남권","Honam","권역 내","129135963"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","8121883"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","9110439"
"2019","호남권","Honam","기타","Others","권역 간","0"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","2387283"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","17204732"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","4254852"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","1843616"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","763300"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","490148"
"2019","영남권","Yeongnam","대전시","Daejeon","권역 간","1077966"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","8539236"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","9416103"
"2019","영남권","Yeongnam","기타","Others","권역 간","3454565"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","5435226"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","5444021"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","2203186"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","3896714"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","63771940"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","7072812"
"2019","영남권","Yeongnam","기타","Others","권역 간","0"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","1501038"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","28586338"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","3099498"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","1500842"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","1004416"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","427349"
"2019","영남권","Yeongnam","대전시","Daejeon","권역 간","939013"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","9404499"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","8254060"
"2019","영남권","Yeongnam","기타","Others","권역 간","2556241"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","3584586"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4666749"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","2834892"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","6928796"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","10947281"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","79738422"
"2019","영남권","Yeongnam","기타","Others","권역 간","0"
"2019","기타","Others","수도권","Capital Area","권역 간","0"
"2019","기타","Others","영남권","Yeongnam","권역 간","0"
"2019","기타","Others","영남권","Yeongnam","권역 간","0"
"2019","기타","Others","수도권","Capital Area","권역 간","0"
"2019","기타","Others","호남권","Honam","권역 간","0"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","0"
"2019","기타","Others","대전시","Daejeon","권역 간","0"
"2019","기타","Others","영남권","Yeongnam","권역 간","0"
"2019","기타","Others","수도권","Capital Area","권역 간","0"
"2019","기타","Others","기타","Others","권역 내","0"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","0"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","0"
"2019","기타","Others","호남권","Honam","권역 간","0"
"2019","기타","Others","호남권","Honam","권역 간","0"
"2019","기타","Others","영남권","Yeongnam","권역 간","0"
"2019","기타","Others","영남권","Yeongnam","권역 간","0"
"2019","기타","Others","기타","Others","권역 내","9376659"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","342030"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","480023"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","135665"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","407434"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","115502"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","2581444"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","권역 간","649624"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","293245"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","3200579"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","권역 간","555895"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","3898433"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","4668356"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","563421"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","634206"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","1301929"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","471805"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","권역 간","0"
"2020","수도권","Capital Area","수도권","Capital Area","권역 내","32668611"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","879870"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","246905"
"2020","수도권","Capital Area","수도권","Capital Area","권역 내","1622015"
"2020","수도권","Capital Area","호남권","Honam","권역 간","181615"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","117497"
"2020","수도권","Capital Area","대전시","Daejeon","권역 간","294377"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","429498"
"2020","수도권","Capital Area","수도권","Capital Area","권역 내","16739449"
"2020","수도권","Capital Area","기타","Others","권역 간","858841"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1086555"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1608799"
"2020","수도권","Capital Area","호남권","Honam","권역 간","249708"
"2020","수도권","Capital Area","호남권","Honam","권역 간","509461"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","1233957"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","758943"
"2020","수도권","Capital Area","기타","Others","권역 간","0"
"2020","영남권","Yeongnam","수도권","Capital Area","권역 간","1732550"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","38446239"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","1722556"
"2020","영남권","Yeongnam","수도권","Capital Area","권역 간","3479945"
"2020","영남권","Yeongnam","호남권","Honam","권역 간","880264"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","553008"
"2020","영남권","Yeongnam","대전시","Daejeon","권역 간","688262"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","12632453"
"2020","영남권","Yeongnam","수도권","Capital Area","권역 간","17096810"
"2020","영남권","Yeongnam","기타","Others","권역 간","686200"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4149408"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","3945331"
"2020","영남권","Yeongnam","호남권","Honam","권역 간","1505459"
"2020","영남권","Yeongnam","호남권","Honam","권역 간","2262487"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","10707194"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","21064077"
"2020","영남권","Yeongnam","기타","Others","권역 간","0"
"2020","영남권","Yeongnam","수도권","Capital Area","권역 간","771193"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","3228088"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","11159681"
"2020","영남권","Yeongnam","수도권","Capital Area","권역 간","410669"
"2020","영남권","Yeongnam","호남권","Honam","권역 간","312874"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","129262"
"2020","영남권","Yeongnam","대전시","Daejeon","권역 간","318716"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","1738290"
"2020","영남권","Yeongnam","수도권","Capital Area","권역 간","2468148"
"2020","영남권","Yeongnam","기타","Others","권역 간","500323"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1179669"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1631557"
"2020","영남권","Yeongnam","호남권","Honam","권역 간","597265"
"2020","영남권","Yeongnam","호남권","Honam","권역 간","874038"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","8503959"
"2020","영남권","Yeongnam","영남권","Yeongnam","권역 내","3482021"
"2020","영남권","Yeongnam","기타","Others","권역 간","0"
"2020","수도권","Capital Area","수도권","Capital Area","권역 내","12490451"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","3187858"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","627813"
"2020","수도권","Capital Area","수도권","Capital Area","권역 내","95444949"
"2020","수도권","Capital Area","호남권","Honam","권역 간","525339"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","557576"
"2020","수도권","Capital Area","대전시","Daejeon","권역 간","993047"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","2564670"
"2020","수도권","Capital Area","수도권","Capital Area","권역 내","67032872"
"2020","수도권","Capital Area","기타","Others","권역 간","3639138"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4959200"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","9916943"
"2020","수도권","Capital Area","호남권","Honam","권역 간","1696618"
"2020","수도권","Capital Area","호남권","Honam","권역 간","3817676"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","4716171"
"2020","수도권","Capital Area","영남권","Yeongnam","권역 간","2471224"
"2020","수도권","Capital Area","기타","Others","권역 간","0"
"2020","호남권","Honam","수도권","Capital Area","권역 간","432618"
"2020","호남권","Honam","영남권","Yeongnam","권역 간","2265410"
"2020","호남권","Honam","영남권","Yeongnam","권역 간","225510"
