"year","base_region","target_region","flow_type","total_cargo_volume"
"2022","수도권","세종","도착","1994606"
"2022","수도권","수도권","도착","418744018"
"2022","수도권","울산","도착","1834519"
"2022","수도권","전남","도착","10196160"
"2022","수도권","전북","도착","8574532"
"2022","수도권","제주","도착","0"
"2022","수도권","충남","도착","29134850"
"2022","수도권","충북","도착","22006136"
"2022","수도권","강원","출발","16198551"
"2022","수도권","경남","출발","23768047"
"2022","수도권","경북","출발","31556920"
"2022","수도권","광주","출발","5691967"
"2022","수도권","대구","출발","8706936"
"2022","수도권","대전","출발","8424562"
"2022","수도권","부산","출발","33943984"
"2022","수도권","세종","출발","3374019"
"2022","수도권","수도권","출발","418744018"
"2022","수도권","울산","출발","17083249"
"2022","수도권","전남","출발","20574132"
"2022","수도권","전북","출발","14519398"
"2022","수도권","제주","출발","0"
"2022","수도권","충남","출발","59594482"
"2022","수도권","충북","출발","27601588"
"2023","수도권","강원","도착","20426069"
"2023","수도권","경남","도착","5419467"
"2023","수도권","경북","도착","9918224"
"2023","수도권","광주","도착","3524674"
"2023","수도권","대구","도착","2039112"
"2023","수도권","대전","도착","596435"
"2023","수도권","부산","도착","22465682"
"2023","수도권","세종","도착","2176361"
"2023","수도권","수도권","도착","386210199"
"2023","수도권","울산","도착","1738937"
"2023","수도권","전남","도착","9821140"
"2023","수도권","전북","도착","8185291"
"2023","수도권","제주","도착","0"
"2023","수도권","충남","도착","30657697"
"2023","수도권","충북","도착","23716081"
"2023","수도권","강원","출발","15369225"
"2023","수도권","경남","출발","23661196"
"2023","수도권","경북","출발","30462853"
"2023","수도권","광주","출발","5949536"
"2023","수도권","대구","출발","9244001"
"2023","수도권","대전","출발","8106955"
"2023","수도권","부산","출발","34143632"
"2023","수도권","세종","출발","3172903"
"2023","수도권","수도권","출발","386210199"
"2023","수도권","울산","출발","16826838"
"2023","수도권","전남","출발","19606833"
"2023","수도권","전북","출발","13556962"
"2023","수도권","제주","출발","0"
"2023","수도권","충남","출발","54491842"
"2023","수도권","충북","출발","23873942"
