연도,기준지역,대상지역,구분,물동량
2020,제주,경북,출발,0
2020,제주,경남,출발,0
2020,제주,제주,출발,9123013
2020,세종,서울,출발,323739
2020,세종,부산,출발,449627
2020,세종,대구,출발,147691
2020,세종,인천,출발,298813
2020,세종,광주,출발,108438
2020,세종,세종,출발,2363623
2020,세종,대전,출발,607431
2020,세종,울산,출발,307115
2020,세종,경기,출발,2737789
2020,세종,강원,출발,487486
2020,세종,충북,출발,3494556
2020,세종,충남,출발,4030889
2020,세종,전북,출발,529705
2020,세종,전남,출발,613294
2020,세종,경북,출발,1208162
2020,세종,경남,출발,465389
2020,세종,제주,출발,0
2021,서울,서울,출발,35820763
2021,서울,부산,출발,1028857
2021,서울,대구,출발,289488
2021,서울,인천,출발,1806951
2021,서울,광주,출발,213471
2021,서울,세종,출발,134196
2021,서울,대전,출발,340934
2021,서울,울산,출발,609983
2021,서울,경기,출발,18468535
2021,서울,강원,출발,995461
2021,서울,충북,출발,1237892
2021,서울,충남,출발,1894318
2021,서울,전북,출발,281431
2021,서울,전남,출발,699408
2021,서울,경북,출발,1442676
2021,서울,경남,출발,901098
2021,서울,제주,출발,0
2021,부산,서울,출발,1778726
2021,부산,부산,출발,41926722
2021,부산,대구,출발,1871581
2021,부산,인천,출발,3567405
2021,부산,광주,출발,932604
2021,부산,세종,출발,597952
2021,부산,대전,출발,720759
2021,부산,울산,출발,13254480
2021,부산,경기,출발,17910171
2021,부산,강원,출발,767964
2021,부산,충북,출발,4428011
2021,부산,충남,출발,4076760
2021,부산,전북,출발,1551987
2021,부산,전남,출발,2461425
2021,부산,경북,출발,11577889
2021,부산,경남,출발,22807538
2021,부산,제주,출발,0
2021,대구,서울,출발,703622
2021,대구,부산,출발,3463283
2021,대구,대구,출발,11362561
2021,대구,인천,출발,406084
2021,대구,광주,출발,294949
2021,대구,세종,출발,130375
2021,대구,대전,출발,312078
2021,대구,울산,출발,1720047
2021,대구,경기,출발,2359284
2021,대구,강원,출발,491472
2021,대구,충북,출발,1146245
2021,대구,충남,출발,1590905
2021,대구,전북,출발,573326
