"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20221101,서울특별시,11,금천구,11545,세종특별자치시,36,22,38,9,38,49,25,46,37,184,85,140
20221101,서울특별시,11,금천구,11545,울산광역시,31,40,83,17,96,150,74,141,41,420,205,304
20221101,서울특별시,11,금천구,11545,대전광역시,30,66,149,37,176,197,73,149,70,560,308,438
20221101,서울특별시,11,관악구,11620,전라북도,45,13,38,40,26,87,10,46,7,165,76,28
20221101,서울특별시,11,관악구,11620,전라남도,46,17,40,23,20,72,5,74,0,142,63,43
20221101,서울특별시,11,관악구,11620,경상북도,47,19,49,37,30,108,7,67,5,248,97,49
20221101,서울특별시,11,관악구,11620,경상남도,48,41,81,56,40,136,13,83,6,306,127,67
20221101,서울특별시,11,관악구,11620,제주특별자치도,50,8,7,14,4,27,0,34,0,34,14,7
20221101,서울특별시,11,종로구,11110,제주특별자치도,50,9,30,11,13,35,0,27,13,131,40,3
20221101,서울특별시,11,종로구,11110,경상남도,48,42,202,36,72,197,25,133,44,894,216,94
20221101,서울특별시,11,종로구,11110,경상북도,47,32,147,41,65,144,19,130,42,725,169,51
20221101,서울특별시,11,성북구,11290,제주특별자치도,50,6,74,7,25,60,8,30,14,284,94,17
20221101,서울특별시,11,성북구,11290,경상남도,48,58,668,42,185,592,66,288,102,1699,540,135
20221101,서울특별시,11,성북구,11290,경상북도,47,47,421,49,113,455,45,230,96,1374,403,84
20221101,서울특별시,11,성북구,11290,전라남도,46,30,226,23,76,324,21,160,46,845,256,47
20221101,서울특별시,11,성북구,11290,전라북도,45,28,245,27,63,352,33,159,61,1060,300,55
20221101,서울특별시,11,성북구,11290,충청남도,44,30,348,37,108,422,36,246,76,1246,390,62
20221101,서울특별시,11,성북구,11290,충청북도,43,35,216,26,68,277,33,162,65,995,284,50
20221101,서울특별시,11,성북구,11290,강원도,42,39,322,30,90,263,23,184,46,927,257,53
20221101,서울특별시,11,성북구,11290,경기도,41,331,2854,261,776,2780,262,1584,506,9415,2861,412
20221101,서울특별시,11,종로구,11110,전라남도,46,25,147,25,47,95,11,79,19,495,108,25
20221101,서울특별시,11,종로구,11110,전라북도,45,13,100,28,35,116,9,81,24,494,146,39
20221101,서울특별시,11,금천구,11545,서울특별시,11,459,1348,802,1270,1597,687,1264,530,3878,2191,3593
20221101,서울특별시,11,금천구,11545,부산광역시,26,117,274,80,296,432,204,338,131,1030,533,945
20221101,서울특별시,11,금천구,11545,대구광역시,27,82,233,60,182,307,184,245,103,878,392,698
20221101,서울특별시,11,금천구,11545,인천광역시,28,116,347,101,282,416,136,360,150,1103,630,903
20221101,서울특별시,11,금천구,11545,광주광역시,29,64,141,36,139,194,100,183,69,582,249,462
20221101,서울특별시,11,도봉구,11320,서울특별시,11,156,405,138,455,690,187,997,80,2537,399,282
20221101,서울특별시,11,도봉구,11320,부산광역시,26,39,111,18,121,212,55,319,26,729,126,75
20221101,서울특별시,11,도봉구,11320,제주특별자치도,50,7,17,0,12,23,5,35,0,68,10,14
20221101,서울특별시,11,도봉구,11320,경상남도,48,42,112,21,112,208,51,295,53,825,145,90
20221101,서울특별시,11,도봉구,11320,경상북도,47,29,71,6,117,160,45,218,26,557,102,59
20221101,서울특별시,11,도봉구,11320,전라남도,46,27,48,10,72,81,32,140,27,352,68,43
20221101,서울특별시,11,도봉구,11320,전라북도,45,23,50,10,69,108,25,157,15,402,66,36
20221101,서울특별시,11,도봉구,11320,충청남도,44,27,84,16,104,130,33,203,28,521,80,52
20221101,서울특별시,11,도봉구,11320,충청북도,43,22,60,11,67,106,23,135,9,406,68,44
20221101,서울특별시,11,도봉구,11320,강원도,42,21,69,11,75,77,26,148,9,382,84,35
20221101,서울특별시,11,송파구,11710,강원도,42,24,160,35,89,249,41,2020,41,288,80,82
20221101,서울특별시,11,송파구,11710,충청북도,43,34,155,41,103,406,52,3652,79,507,85,109
20221101,서울특별시,11,송파구,11710,충청남도,44,33,190,63,181,502,51,4405,61,926,159,139
20221101,서울특별시,11,송파구,11710,전라북도,45,20,146,46,87,218,35,1598,37,644,183,77
20221101,서울특별시,11,송파구,11710,전라남도,46,25,129,37,94,237,32,1485,25,279,63,87
20221101,서울특별시,11,송파구,11710,경상북도,47,24,199,35,144,350,57,2315,38,537,116,123
20221101,서울특별시,11,송파구,11710,경상남도,48,38,267,77,161,445,69,2747,43,772,162,154
20221101,서울특별시,11,송파구,11710,제주특별자치도,50,5,46,30,25,29,12,33,6,92,34,21
20221101,서울특별시,11,도봉구,11320,경기도,41,276,623,147,687,967,259,1240,178,3910,671,372
20221101,서울특별시,11,도봉구,11320,세종특별자치시,36,6,15,5,13,24,8,36,7,115,14,5
