기간,지역,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
2021,대전광역시,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,283,8672,1734,16233,-7561
2021,대전광역시,69,도자제품,20,25,3902,9063,-9039
2021,대전광역시,70,유리와유리제품,139,763,2908,7054,-6291
2021,대전광역시,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,104,12405,4369,12408,-3
2021,대전광역시,72,철강,178,18565,758,48419,-29854
2021,대전광역시,73,철강의제품,3761,45636,16226,69438,-23802
2021,대전광역시,74,구리와그제품,655,11361,1855,17647,-6286
2021,대전광역시,75,니켈과그제품,9,488,123,6263,-5775
2021,대전광역시,76,알루미늄과그제품,1177,22972,3405,117657,-94685
2021,대전광역시,78,납과그제품,688,307,160,14492,-14185
2021,대전광역시,79,아연과그제품,12,20,37,84,-64
2021,대전광역시,80,주석과그제품,0,0,19,1553,-1553
2021,대전광역시,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,116,856,268,62555,-61700
2021,대전광역시,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,1349,6098,8084,5690,408
2021,대전광역시,83,비금속(卑金屬)으로만든각종제품,817,3827,2017,4618,-791
2021,대전광역시,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,17982,973236,42146,653377,319860
2021,대전광역시,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,32027,1447418,92752,743282,704136
2021,대전광역시,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,6,607,95,79154,-78548
2021,대전광역시,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,9466,290330,6414,95035,195295
2021,대전광역시,88,항공기와우주선이들의부분품,21,57616,169,9231,48385
2021,대전광역시,89,선박과수상구조물,0,0,36,1000,-1000
2021,대전광역시,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,13964,373030,40731,322160,50870
2021,대전광역시,91,시계와그부분품,38,31,1851,1317,-1286
2021,대전광역시,92,악기와그부분품과부속품,4,2,570,736,-734
2021,대전광역시,93,무기ㆍ총포탄과이들의부분품과부속품,3,2,142,310,-308
2021,대전광역시,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,497,5125,7604,37577,-32453
2021,대전광역시,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,274,7258,14337,20510,-13251
2021,대전광역시,96,잡품,1779,67060,10918,6374,60687
2021,대전광역시,97,예술품ㆍ수집품ㆍ골동품,7,9,227,1164,-1155
2021,대전광역시,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0,0,226,0,0
2022,대전광역시,01,살아있는동물,23,40,161,1715,-1676
2022,대전광역시,02,육과식용설육(屑肉),1,1,215,10635,-10635
2022,대전광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,85,10249,1732,8187,2062
2022,대전광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,6,32,6504,3434,-3402
2022,대전광역시,05,다른류로분류되지않은동물성생산품,2,0,109,8555,-8555
2022,대전광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,2,60,265,2083,-2023
2022,대전광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),57,47,2116,19348,-19301
2022,대전광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,58,233,1999,1158,-925
2022,대전광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,13,6,11795,1154,-1148
2022,대전광역시,10,곡물,1,0,1417,419710,-419710
2022,대전광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),36,184,2112,4178,-3995
2022,대전광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,50,829,5705,44654,-43825
2022,대전광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),58,772,1148,680,92
2022,대전광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,35,102,-102
2022,대전광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,26,235,4044,2920,-2685
2022,대전광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,183,1734,3962,757,976
2022,대전광역시,17,당류(糖類)와설탕과자,112,336,25894,602,-265
2022,대전광역시,18,코코아와그조제품,17,54,15854,356,-303
2022,대전광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,627,5205,84074,3549,1656
2022,대전광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,591,17268,19991,11238,6031
2022,대전광역시,21,각종조제식료품,902,6638,498198,51362,-44724
2022,대전광역시,22,음료ㆍ주류ㆍ식초,289,5233,17280,12186,-6953
2022,대전광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,89,953,3613,160521,-159568
2022,대전광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,683,112510,1153,136086,-23576
2022,대전광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,14,43,1896,13473,-13430
2022,대전광역시,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),0,0,10,119,-119
2022,대전광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,53,223,182,1395,-1172
2022,대전광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,956,12559,1563,122345,-109786
2022,대전광역시,29,유기화학품,456,41081,3211,261433,-220352
2022,대전광역시,30,의료용품,768,29861,32696,21955,7906
2022,대전광역시,31,비료,87,1764,136,1274,490
2022,대전광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,544,11381,992,17494,-6113
2022,대전광역시,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,4565,86017,90759,20574,65443
