연도,출발지,도착지,품목,물동량_톤
2022,서울특별시,경상북도,비금속광물,26657
2022,서울특별시,경상북도,음식료품,17689
2022,서울특별시,경상북도,담배제품,0
2022,서울특별시,경상북도,섬유제품,2678
2022,서울특별시,경상북도,의복,64116
2022,서울특별시,경상북도,가죽,1639
2022,서울특별시,경상북도,"목재,나무제품",112
2022,서울특별시,경상북도,"펄프,종이",1729
2022,서울특별시,경상북도,"인쇄,기록매체",10739
2022,서울특별시,경상북도,"코크스,연탄,석유정제품",4375
2022,서울특별시,경상북도,"화합물,화학제품",6971
2022,서울특별시,경상북도,"고무,플라스틱제품",11031
2022,서울특별시,경상북도,비금속광물제품,11443
2022,서울특별시,경상북도,제1차금속제품,1394
2022,서울특별시,경상북도,금속가공제품,27409
2022,서울특별시,경상북도,"기타기계,장비제조품",3877
2022,서울특별시,경상북도,"전자부품,컴퓨터,영상,음향,통신장비",18823
2022,서울특별시,경상북도,전기장비제품,1347
2022,서울특별시,경상북도,"의료,정밀,광학기기,시계",12013
2022,서울특별시,경상북도,"자동차,트레일러",81
2022,서울특별시,경상북도,기타운송장비,10
2022,서울특별시,경상북도,가구제품,321
2022,서울특별시,경상북도,기타제품,783
2022,서울특별시,경상북도,*) 재생제품,7454009
2022,서울특별시,경상북도,*) 기타,0
2022,서울특별시,경상남도,합계,7330654
2022,서울특별시,경상남도,농산물,86
2022,서울특별시,경상남도,임산물,239
2022,서울특별시,경상남도,수산물,21
2022,서울특별시,경상남도,축산물,2
2022,서울특별시,경상남도,석탄광물,0
2022,서울특별시,경상남도,석회석광물,0
2022,서울특별시,경상남도,비금속광물,14388
2022,서울특별시,경상남도,음식료품,22358
2022,서울특별시,경상남도,담배제품,0
2022,서울특별시,경상남도,섬유제품,1844
2022,서울특별시,경상남도,의복,36308
2022,서울특별시,경상남도,가죽,2274
2022,서울특별시,경상남도,"목재,나무제품",120
2022,서울특별시,경상남도,"펄프,종이",2124
2022,서울특별시,경상남도,"인쇄,기록매체",11072
2022,서울특별시,경상남도,"코크스,연탄,석유정제품",4242
2022,서울특별시,경상남도,"화합물,화학제품",4127
2022,서울특별시,경상남도,"고무,플라스틱제품",8202
2022,서울특별시,경상남도,비금속광물제품,5569
2022,서울특별시,경상남도,제1차금속제품,952
2022,서울특별시,경상남도,금속가공제품,45583
2022,서울특별시,경상남도,"기타기계,장비제조품",7006
2022,서울특별시,경상남도,"전자부품,컴퓨터,영상,음향,통신장비",1203
2022,서울특별시,경상남도,전기장비제품,1505
