시도별,산업별,산업코드,연도,지표,단위,값,비고
광주광역시,제조업,10~34,2021,출하액,백만원,38756262.0,
대전광역시,광업 및 제조업,,2021,출하액,백만원,20086362.0,
대전광역시,광업,05~08,2021,출하액,백만원,0.0,-
대전광역시,제조업,10~34,2021,출하액,백만원,20086362.0,
울산광역시,광업 및 제조업,,2021,출하액,백만원,209056823.0,
울산광역시,광업,05~08,2021,출하액,백만원,110488.0,
울산광역시,제조업,10~34,2021,출하액,백만원,208946335.0,
세종특별자치시,광업 및 제조업,,2021,출하액,백만원,9365765.0,
세종특별자치시,광업,05~08,2021,출하액,백만원,31994.0,
세종특별자치시,제조업,10~34,2021,출하액,백만원,9333771.0,
경기도,광업 및 제조업,,2021,출하액,백만원,489560017.0,
경기도,광업,05~08,2021,출하액,백만원,652587.0,
경기도,제조업,10~34,2021,출하액,백만원,488907430.0,
강원특별자치도,광업 및 제조업,,2021,출하액,백만원,16095351.0,
강원특별자치도,광업,05~08,2021,출하액,백만원,930406.0,
강원특별자치도,제조업,10~34,2021,출하액,백만원,15164945.0,
충청북도,광업 및 제조업,,2021,출하액,백만원,112116300.0,
충청북도,광업,05~08,2021,출하액,백만원,297933.0,
충청북도,제조업,10~34,2021,출하액,백만원,111818367.0,
충청남도,광업 및 제조업,,2021,출하액,백만원,221383154.0,
충청남도,광업,05~08,2021,출하액,백만원,234071.0,
충청남도,제조업,10~34,2021,출하액,백만원,221149083.0,
전라북도,광업 및 제조업,,2021,출하액,백만원,45884826.0,
전라북도,광업,05~08,2021,출하액,백만원,196900.0,
전라북도,제조업,10~34,2021,출하액,백만원,45687926.0,
전라남도,광업 및 제조업,,2021,출하액,백만원,125185411.0,
전라남도,광업,05~08,2021,출하액,백만원,222257.0,
전라남도,제조업,10~34,2021,출하액,백만원,124963154.0,
경상북도,광업 및 제조업,,2021,출하액,백만원,156402524.0,
경상북도,광업,05~08,2021,출하액,백만원,242917.0,
경상북도,제조업,10~34,2021,출하액,백만원,156159607.0,
경상남도,광업 및 제조업,,2021,출하액,백만원,132393693.0,
경상남도,광업,05~08,2021,출하액,백만원,164098.0,
경상남도,제조업,10~34,2021,출하액,백만원,132229595.0,
제주특별자치도,광업 및 제조업,,2021,출하액,백만원,1958420.0,
제주특별자치도,광업,05~08,2021,출하액,백만원,39449.0,
제주특별자치도,제조업,10~34,2021,출하액,백만원,1918971.0,
