지역명,연도,수출_금액증감률,수출_중량증감률,수출액_백만불,수출중량_천톤,수출단가_USD_kg,수입_금액증감률,수입_중량증감률,수입액_백만불,수입중량_천톤,수입단가_USD_kg,수지_금액,수지_중량,중량비_수입대수출
대전,2006,10.9,-10.4,2395.862,822.356371,2.9134108818134274,4.3,7.4,2390.243,1150.771486,2.077078750281096,5619,-328415115,1.3993586315877158
대전,2007,7.7,2.3,2580.828,841.24638,3.0678622355557716,17.7,9.2,2812.506,1256.484292,2.2383932834713067,-231678,-415237912,1.4935984532854691
대전,2008,15.8,-5.4,2989.513,795.70234,3.7570745361889974,-2.1,-4.2,2754.306,1203.429634,2.288713791138037,235207,-407727294,1.5124118322939706
대전,2009,-4.6,-3.6,2850.895,767.038259,3.716757236746909,-15.4,-4.5,2330.391,1149.647963,2.027047474531993,520504,-382609704,1.4988143674851557
대전,2010,24.4,-0.4,3546.293,764.24709,4.640244034164396,19.2,20.7,2776.777,1387.217052,2.0016889181088295,769516,-622969962,1.815142079245601
대전,2011,16.2,6.0,4122.18,809.954408,5.089397575079312,10.1,-8.2,3057.237,1273.657446,2.4003604812278545,1064943,-463703038,1.5725051106827237
대전,2012,3.7,8.6,4274.036,879.667725,4.858693661859653,-5.2,5.8,2896.987,1347.22035,2.150343854292284,1377049,-467552625,1.5315104916461497
대전,2013,-5.7,-5.3,4029.615,832.605546,4.839764783406811,15.3,23.5,3340.873,1663.200949,2.008700753813723,688742,-830595403,1.9975857199010298
대전,2014,17.4,0.1,4731.529,833.549168,5.676364612483184,6.5,0.4,3557.912,1669.537434,2.1310765051105767,1173617,-835988266,2.0029261597199506
대전,2015,-9.0,10.8,4306.95,923.258335,4.664945700165274,1.9,8.1,3623.953,1805.365565,2.0073236524814297,682997,-882107230,1.9554283958887844
대전,2016,-3.3,-3.1,4163.313,894.986026,4.6518189994622325,-4.1,2.5,3476.908,1850.693679,1.8787052873486363,686405,-955707653,2.067846452610423
대전,2017,7.0,9.4,4453.922,979.492889,4.547171347560441,0.3,-26.1,3488.149,1366.746463,2.5521551322280613,965773,-387253574,1.395361291898057
대전,2018,1.4,1.5,4514.583,994.519202,4.539462879068674,-1.8,4.4,3424.872,1426.455276,2.4009669686973067,1089711,-431936074,1.4343164748668171
대전,2019,-10.3,-3.0,4047.925,964.655283,4.196239912159378,-7.4,-3.0,3171.571,1384.147147,2.2913539264044736,876354,-419491864,1.4348619360642634
대전,2020,24.0,-4.9,5018.185,916.97935,5.472516911095108,14.2,-11.0,3621.369,1231.921357,2.9396105355449245,1396816,-314942007,1.3434559426011066
대전,2021,-1.3,-24.1,4952.668,696.056179,7.115327971249861,5.3,21.1,3813.135,1491.847415,2.5559819065008065,1139533,-795791236,2.1432859300858245
대전,2022,-5.4,-6.1,4683.66,653.254978,7.169727224030431,17.3,42.5,4472.68,2125.705316,2.1040922118106047,210980,-1472450338,3.2540208457470032
대전,2023,-8.7,-10.9,4278.337,581.963162,7.351559822612964,1.9,2.2,4555.781,2172.079847,2.0974279588719007,-277444,-1590116685,3.732332196999095
대전,2024,7.3,11.2,4592.485,647.0192,7.09791146846956,-4.8,-12.0,4334.935,1911.307182,2.268047251025293,257550,-1264287982,2.954019265579754
대전,2025,9.0,2.3,5004.627,661.786165,7.562302243051575,-4.2,-5.6,4152.842,1804.219516,2.3017387646969674,851785,-1142433351,2.7262877518752604
대전,2026,3.7,-3.3,2949.016,379.706266,7.766571858469146,14.7,17.4,2715.094,1190.98457,2.279705437325691,233922,-811278304,3.1365944590442973
부산,2000,0.0,0.0,4835.451,2247.057134,2.151903895470777,0.0,0.0,3985.41,6542.104387,0.6091938868966262,850041,-4295047253,2.911409900537046
부산,2001,-5.6,-7.8,4566.724,2072.613885,2.2033645692767325,8.1,8.5,4309.096,7095.94441,0.607261803506716,257628,-5023330525,3.423669242667454
부산,2002,5.9,-8.3,4836.407,1900.614815,2.5446539518845115,23.4,38.8,5316.874,9846.682465,0.5399660260091468,-480467,-7946067650,5.180788020428011
부산,2003,0.2,3.5,4844.489,1967.733913,2.4619634636545493,2.8,-7.5,5468.068,9109.029459,0.600290955761196,-623579,-7141295546,4.629197778632786
부산,2004,32.8,50.5,6433.917,2961.975255,2.1721710838532986,23.3,3.2,6739.99,9396.337862,0.7172996649319505,-306073,-6434362607,3.1723215263660265
