기간,지역,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지,품목약칭_TRASS
2001,광주광역시,78,납과그제품,5,3,86,4777,-4773,연
2001,광주광역시,79,아연과그제품,7,154,28,2360,-2207,아연
2001,광주광역시,80,주석과그제품,0,0,41,1576,-1576,주석
2001,광주광역시,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,1,1,57,416,-415,기타_비금속
2001,광주광역시,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,91,3741,217,1098,2643,비금속제의공구
2001,광주광역시,83,비금속(卑金屬)으로만든각종제품,13,87,34,403,-316,비금속제의각종_제품
2001,광주광역시,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,18415,583836,3969,75943,507894,기계류
2001,광주광역시,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,23237,1788459,20153,1248932,539527,전기기기
2001,광주광역시,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,12,23,8,12,11,철도차량
2001,광주광역시,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,3904,460436,482,17341,443095,자동차
2001,광주광역시,88,항공기와우주선이들의부분품,0,0,2,13,-13,항공기
2001,광주광역시,89,선박과수상구조물,1,195,1,5,190,선박
2001,광주광역시,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,150,6132,1277,22674,-16542,광학_정밀의료기기
2001,광주광역시,91,시계와그부분품,2,2,45,42,-40,시계
2001,광주광역시,92,악기와그부분품과부속품,37,279,26,201,78,악기
2001,광주광역시,93,무기ㆍ총포탄과이들의부분품과부속품,0,0,4,6,-6,무기
2001,광주광역시,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,35,741,104,735,7,가구_침구조립식건축
2001,광주광역시,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,284,33844,74,3833,30011,완구_운동용구
2001,광주광역시,96,잡품,62,246,85,506,-260,잡품
2001,광주광역시,97,예술품ㆍ수집품ㆍ골동품,2,42,16,381,-339,예술품_수집과_골동품
2001,광주광역시,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0,0,389,41,-41,
2002,광주광역시,01,살아있는동물,0,0,72,185,-185,산_동물
2002,광주광역시,02,육과식용설육(屑肉),0,0,8,219,-219,육과식용설육
2002,광주광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,164,731,598,8597,-7866,어류
2002,광주광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,30,1341,286,13950,-12609,낙농품
2002,광주광역시,05,다른류로분류되지않은동물성생산품,3,71,8,74,-3,기타_동물성생산품
2002,광주광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,4,35,49,588,-553,산_수목및절화
2002,광주광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),187,1171,122,1461,-290,채소
2002,광주광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,57,649,5,133,516,과실_견과류
2002,광주광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,11,143,30,151,-8,커피_향신료
2002,광주광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),0,0,30,4583,-4583,제분공업생산품
2002,광주광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,31,310,170,1255,-945,채유용종자
2002,광주광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),1,1,9,369,-368,식물성수액과_엑스
2002,광주광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,145,1894,-1894,기타_식물성생산품
2002,광주광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,6,47,2,4,44,동_식물성유지
2002,광주광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,28,208,95,3732,-3524,육_어류조제품
2002,광주광역시,17,당류(糖類)와설탕과자,8,69,20,660,-591,당류설탕과자
2002,광주광역시,18,코코아와그조제품,0,0,17,2087,-2087,코코아
2002,광주광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,130,2591,32,210,2381,곡물_곡분의_조제품
2002,광주광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,121,765,69,647,119,채소_과실의_조제품
2002,광주광역시,21,각종조제식료품,74,921,217,4022,-3101,각종의_조제식료품
2002,광주광역시,22,음료ㆍ주류ㆍ식초,309,20223,26,153,20070,음료_알콜식초
2002,광주광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,10,104,121,3079,-2976,사료
2002,광주광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,51,79,2,0,79,담배
2002,광주광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,5,8,201,1132,-1124,암석광물
2002,광주광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,20,140,97,675,-535,광물성_연료에너지
2002,광주광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,2,36,196,3423,-3388,무기화학품
2002,광주광역시,29,유기화학품,9,27,193,7292,-7265,유기화학품
2002,광주광역시,30,의료용품,25,257,19,23,234,의료용품
2002,광주광역시,31,비료,0,0,9,66,-66,비료
2002,광주광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,58,340,200,1158,-818,유연_착색제
2002,광주광역시,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,5,10,164,1042,-1032,향료_화장품
2002,광주광역시,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,217,1085,149,4073,-2988,비누_왁스
2002,광주광역시,35,단백질계물질변성전분글루(glue)효소,14,472,268,3872,-3401,단백질계물질
2002,광주광역시,36,화약류화공품성냥발화성합금특정가연성조제품,0,0,1,3,-3,화약류_성냥
2002,광주광역시,37,사진용이나영화용재료,9,10,42,870,-860,사진_영화용재료
2002,광주광역시,38,각종화학공업생산품,145,423,564,8376,-7952,각종_화학공업생산품
2002,광주광역시,39,플라스틱과그제품,1688,13150,2191,16811,-3661,플라스틱
2002,광주광역시,40,고무와그제품,37606,626050,512,9798,616252,고무
2002,광주광역시,41,원피(모피는제외한다)와가죽,0,0,1,3,-3,원피
2002,광주광역시,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,8,17,179,315,-298,가죽제품
2002,광주광역시,43,모피ㆍ인조모피와이들의제품,0,0,3,6,-6,모피
2002,광주광역시,44,목재와그제품목탄,1,13,293,6467,-6454,목재_및목탄
