"year","hs_section","section_name","hs_chapter","product_name","export_cnt","export_usd","export_ratio","import_cnt","import_usd","import_ratio","balance"
"2021","04","조제식품류","17","당류(糖類)와설탕과자","164","225","0.00","23701","732","0.02","-507"
"2021","04","조제식품류","18","코코아와그조제품","17","202","0.00","19331","469","0.01","-267"
"2021","04","조제식품류","19","곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품","658","4905","0.10","76803","3787","0.10","1119"
"2021","04","조제식품류","20","채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품","541","11257","0.23","21192","13523","0.35","-2266"
"2021","04","조제식품류","21","각종조제식료품","1841","6189","0.12","493990","47841","1.25","-41652"
"2021","04","조제식품류","22","음료ㆍ주류ㆍ식초","358","2897","0.06","12226","8655","0.23","-5757"
"2021","04","조제식품류","23","식품공업에서생기는잔재물과웨이스트(waste)조제사료","94","1200","0.02","4907","75347","1.98","-74147"
"2021","04","조제식품류","24","담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것","1085","362125","7.31","668","110978","2.91","251147"
"2021","05","광물성 생산품","25","소금황토석류(土石類)석고ㆍ석회ㆍ시멘트","32","36","0.00","1909","5402","0.14","-5367"
"2021","05","광물성 생산품","26","광(鑛)ㆍ슬래그(slag)ㆍ회(灰)","1","15","0.00","20","394","0.01","-379"
"2021","05","광물성 생산품","27","광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스","65","271","0.01","151","1202","0.03","-931"
"2021","06","화학공업 제품","28","무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물","1070","12635","0.26","1726","151986","3.99","-139351"
"2021","06","화학공업 제품","29","유기화학품","522","61478","1.24","3425","258985","6.79","-197507"
"2021","06","화학공업 제품","30","의료용품","685","29883","0.60","32399","11542","0.30","18341"
"2021","06","화학공업 제품","31","비료","90","1750","0.04","279","1084","0.03","666"
"2021","06","화학공업 제품","32","유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크","572","12221","0.25","1208","20112","0.53","-7890"
"2021","06","화학공업 제품","33","정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품","10143","108429","2.19","93748","21233","0.56","87196"
"2021","06","화학공업 제품","34","비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품","1475","28677","0.58","15913","3845","0.10","24833"
"2021","06","화학공업 제품","35","단백질계물질변성전분글루(glue)효소","1428","39607","0.80","651","6457","0.17","33150"
"2021","06","화학공업 제품","36","화약류화공품성냥발화성합금특정가연성조제품","0","0","0.00","21","667","0.02","-667"
"2021","06","화학공업 제품","37","사진용이나영화용재료","105","1698","0.03","203","924","0.02","774"
"2021","06","화학공업 제품","38","각종화학공업생산품","5680","288189","5.82","6192","48789","1.28","239400"
"2021","07","플라스틱 및 고무 제품","39","플라스틱과그제품","6644","161805","3.27","28557","98569","2.58","63236"
"2021","07","플라스틱 및 고무 제품","40","고무와그제품","1756","22842","0.46","3887","24195","0.63","-1354"
"2021","08","가죽 및 모피 제품","41","원피(모피는제외한다)와가죽","22","344","0.01","22","178","0.00","167"
"2021","08","가죽 및 모피 제품","42","가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품","209","440","0.01","23532","16009","0.42","-15570"
"2021","08","가죽 및 모피 제품","43","모피ㆍ인조모피와이들의제품","0","0","0.00","9","4","0.00","-4"
"2021","09","목재 및 목재 제품","44","목재와그제품목탄","63","84","0.00","1931","14094","0.37","-14011"
"2021","09","목재 및 목재 제품","45","코르크(cork)와그제품","0","0","0.00","14","32","0.00","-32"
"2021","09","목재 및 목재 제품","46","짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物)","2","0","0.00","200","137","0.00","-137"
"2021","10","펄프 및 종이 제품","47","목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)]","4","35","0.00","177","12367","0.32","-12332"
"2021","10","펄프 및 종이 제품","48","종이와판지제지용펄프ㆍ종이ㆍ판지의제품","7164","321493","6.49","4795","48116","1.26","273377"
"2021","10","펄프 및 종이 제품","49","인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면","181","5388","0.11","7027","17634","0.46","-12247"
"2021","11","섬유 및 섬유 제품","50","견","6","12","0.00","18","6","0.00","6"
"2021","11","섬유 및 섬유 제품","51","양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물","19","477","0.01","43","32","0.00","445"
"2021","11","섬유 및 섬유 제품","52","면","93","2296","0.05","369","14237","0.37","-11941"
"2021","11","섬유 및 섬유 제품","53","그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물","0","0","0.00","22","77","0.00","-77"
