"지역","기간","부코드","부명약칭","부명_공식","류코드","류명약칭","류명_공식","수출건수","수출금액","수출비중","수입건수","수입금액","수입비중","무역수지","원자료없음"
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","33","향료_화장품","정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품",4,27,0,87,540,0.03,-513,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","34","비누_왁스","비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품",66,359,0.01,148,4047,0.22,-3688,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","35","단백질계물질","단백질계물질변성전분글루(glue)효소",2,1,0,154,2917,0.16,-2916,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","36","화약류_성냥","화약류화공품성냥발화성합금특정가연성조제품",0,0,0,0,0,0,0,1
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","37","사진_영화용재료","사진용이나영화용재료",0,0,0,60,924,0.05,-924,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","38","각종_화학공업생산품","각종화학공업생산품",13,88,0,469,9476,0.51,-9388,0
"광주광역시","2000","07","플라스틱 및 고무 제품","플라스틱과 그 제품, 고무와 그 제품","39","플라스틱","플라스틱과그제품",1469,15241,0.48,1731,22459,1.22,-7218,0
"광주광역시","2000","07","플라스틱 및 고무 제품","플라스틱과 그 제품, 고무와 그 제품","40","고무","고무와그제품",214,2893,0.09,474,16547,0.9,-13654,0
"광주광역시","2000","08","가죽 및 모피 제품","원피ㆍ가죽ㆍ모피와 이들의 제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품","41","원피","원피(모피는제외한다)와가죽",1,2,0,5,72,0,-70,0
"광주광역시","2000","08","가죽 및 모피 제품","원피ㆍ가죽ㆍ모피와 이들의 제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품","42","가죽제품","가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품",2,1,0,39,35,0,-34,0
"광주광역시","2000","08","가죽 및 모피 제품","원피ㆍ가죽ㆍ모피와 이들의 제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품","43","모피","모피ㆍ인조모피와이들의제품",0,0,0,2,8,0,-8,0
"광주광역시","2000","09","목재 및 목재 제품","목재와 그 제품, 목탄, 코르크와 그 제품, 짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)","44","목재_및목탄","목재와그제품목탄",3,21,0,184,2993,0.16,-2972,0
"광주광역시","2000","09","목재 및 목재 제품","목재와 그 제품, 목탄, 코르크와 그 제품, 짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)","45","코르크","코르크(cork)와그제품",0,0,0,2,3,0,-3,0
"광주광역시","2000","09","목재 및 목재 제품","목재와 그 제품, 목탄, 코르크와 그 제품, 짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)","46","조물재료의제품","짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物)",7,100,0,17,132,0.01,-32,0
"광주광역시","2000","10","펄프 및 종이 제품","목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)], 종이ㆍ판지와 이들의 제품","47","펄프","목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)]",0,0,0,1,100,0.01,-100,0
"광주광역시","2000","10","펄프 및 종이 제품","목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)], 종이ㆍ판지와 이들의 제품","48","지와_지제품","종이와판지제지용펄프ㆍ종이ㆍ판지의제품",42,189,0.01,137,1593,0.09,-1403,0
"광주광역시","2000","10","펄프 및 종이 제품","목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)], 종이ㆍ판지와 이들의 제품","49","인쇄서적_신문_회화","인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면",19,10,0,360,1103,0.06,-1092,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","50","견","견",0,0,0,6,17,0,-17,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","51","모","양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물",0,0,0,2,24,0,-24,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","52","면","면",912,16384,0.51,1518,130694,7.09,-114310,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","53","기타_식물성방직용_섬유","그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물",1,7,0,36,1542,0.08,-1535,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","54","인조필라멘트","인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것",11,46,0,74,1080,0.06,-1034,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","55","인조스테이플섬유","인조스테이플섬유",9,93,0,441,21192,1.15,-21099,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","56","워딩_펄프_부직포","워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품",1,46,0,25,196,0.01,-150,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","57","양탄자류","양탄자류와그밖의방직용섬유로만든바닥깔개",1,9,0,4,67,0,-58,0
"광주광역시","2000","11","섬유 및 섬유 제품","방직용 섬유와 방직용 섬유의 제품","58","특수_직물","특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천",11,19,0,107,2023,0.11,-2004,0
