행정구역별,산업별,산업코드,연도,지표,단위,값,지수
대 전,제조업,10~34,2021,사업체수,개,11047,100.0
대 전,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,455,100.0
대 전,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,230,100.0
대 전,건설업,41~42,2021,사업체수,개,13145,100.0
대 전,도매 및 소매업,45~47,2021,사업체수,개,43994,100.0
대 전,운수 및 창고업,49~52,2021,사업체수,개,17999,100.0
대 전,숙박 및 음식점업,55~56,2021,사업체수,개,23357,100.0
대 전,정보통신업,58~63,2021,사업체수,개,2898,100.0
대 전,금융 및 보험업,64~66,2021,사업체수,개,1681,100.0
대 전,부동산업,68,2021,사업체수,개,7297,100.0
대 전,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,5806,100.0
대 전,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,3954,100.0
대 전,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,292,100.0
대 전,교육 서비스업,85,2021,사업체수,개,7382,100.0
대 전,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,5141,100.0
대 전,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,4250,100.0
대 전,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,15061,100.0
울 산,전체 산업,0,2021,사업체수,개,115408,100.0
울 산,"농업, 임업 및 어업",01~03,2021,사업체수,개,101,100.0
울 산,광업,05~08,2021,사업체수,개,16,100.0
울 산,제조업,10~34,2021,사업체수,개,10025,100.0
울 산,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,264,100.0
울 산,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,314,100.0
울 산,건설업,41~42,2021,사업체수,개,9929,100.0
울 산,도매 및 소매업,45~47,2021,사업체수,개,26003,100.0
울 산,운수 및 창고업,49~52,2021,사업체수,개,12621,100.0
울 산,숙박 및 음식점업,55~56,2021,사업체수,개,20519,100.0
울 산,정보통신업,58~63,2021,사업체수,개,773,100.0
울 산,금융 및 보험업,64~66,2021,사업체수,개,1123,100.0
울 산,부동산업,68,2021,사업체수,개,4912,100.0
울 산,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,3156,100.0
울 산,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,2693,100.0
울 산,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,221,100.0
울 산,교육 서비스업,85,2021,사업체수,개,5910,100.0
울 산,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,3106,100.0
울 산,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,3143,100.0
울 산,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,10579,100.0
세 종,전체 산업,0,2021,사업체수,개,30478,100.0
세 종,"농업, 임업 및 어업",01~03,2021,사업체수,개,87,100.0
세 종,광업,05~08,2021,사업체수,개,8,100.0
세 종,제조업,10~34,2021,사업체수,개,1841,100.0
세 종,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,347,100.0
세 종,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,101,100.0
세 종,건설업,41~42,2021,사업체수,개,2214,100.0
세 종,도매 및 소매업,45~47,2021,사업체수,개,6310,100.0
세 종,운수 및 창고업,49~52,2021,사업체수,개,2230,100.0
세 종,숙박 및 음식점업,55~56,2021,사업체수,개,4583,100.0
세 종,정보통신업,58~63,2021,사업체수,개,708,100.0
세 종,금융 및 보험업,64~66,2021,사업체수,개,255,100.0
세 종,부동산업,68,2021,사업체수,개,2745,100.0
세 종,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,1237,100.0
세 종,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,782,100.0
세 종,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,165,100.0
세 종,교육 서비스업,85,2021,사업체수,개,2641,100.0
세 종,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,1016,100.0
세 종,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,870,100.0
세 종,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,2338,100.0
경 기,전체 산업,0,2021,사업체수,개,1481054,100.0
경 기,"농업, 임업 및 어업",01~03,2021,사업체수,개,1649,100.0
경 기,광업,05~08,2021,사업체수,개,116,100.0
경 기,제조업,10~34,2021,사업체수,개,184432,100.0
경 기,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,6090,100.0
경 기,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,3538,100.0
경 기,건설업,41~42,2021,사업체수,개,113884,100.0
경 기,도매 및 소매업,45~47,2021,사업체수,개,376406,100.0
경 기,운수 및 창고업,49~52,2021,사업체수,개,155809,100.0
경 기,숙박 및 음식점업,55~56,2021,사업체수,개,181248,100.0
경 기,정보통신업,58~63,2021,사업체수,개,31523,100.0
경 기,금융 및 보험업,64~66,2021,사업체수,개,10257,100.0
경 기,부동산업,68,2021,사업체수,개,80072,100.0
경 기,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,53057,100.0
경 기,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,36130,100.0
경 기,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,2004,100.0
경 기,교육 서비스업,85,2021,사업체수,개,64609,100.0
경 기,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,38264,100.0
경 기,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,35761,100.0
경 기,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,106205,100.0
강 원,전체 산업,0,2021,사업체수,개,200365,100.0
강 원,"농업, 임업 및 어업",01~03,2021,사업체수,개,964,100.0
강 원,광업,05~08,2021,사업체수,개,214,100.0
강 원,제조업,10~34,2021,사업체수,개,10682,100.0
강 원,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,5455,100.0
강 원,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,638,100.0
강 원,건설업,41~42,2021,사업체수,개,24044,100.0
강 원,도매 및 소매업,45~47,2021,사업체수,개,44218,100.0
강 원,운수 및 창고업,49~52,2021,사업체수,개,14773,100.0
강 원,숙박 및 음식점업,55~56,2021,사업체수,개,43120,100.0
강 원,정보통신업,58~63,2021,사업체수,개,2134,100.0
강 원,금융 및 보험업,64~66,2021,사업체수,개,1829,100.0
강 원,부동산업,68,2021,사업체수,개,5912,100.0
강 원,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,4462,100.0
강 원,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,4309,100.0
강 원,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,818,100.0
강 원,교육 서비스업,85,2021,사업체수,개,7615,100.0
강 원,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,5363,100.0
강 원,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,5387,100.0
강 원,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,18428,100.0
충 북,전체 산업,0,2021,사업체수,개,194561,100.0
충 북,"농업, 임업 및 어업",01~03,2021,사업체수,개,833,100.0
충 북,광업,05~08,2021,사업체수,개,113,100.0
충 북,제조업,10~34,2021,사업체수,개,18644,100.0
충 북,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,6322,100.0
