연도,품목,지역,구분,물동량_톤
2022,담배제품,대구,반출,0
2022,담배제품,대구,합계,2570
2022,담배제품,인천,반입,2908
2022,담배제품,인천,반출,0
2022,담배제품,인천,합계,2908
2022,담배제품,광주,반입,348
2022,담배제품,광주,반출,15372
2022,담배제품,광주,합계,15720
2022,담배제품,세종,반입,170
2022,담배제품,세종,반출,0
2022,담배제품,세종,합계,170
2022,담배제품,대전,반입,3344
2022,담배제품,대전,반출,9588
2022,담배제품,대전,합계,12932
2022,담배제품,울산,반입,1336
2022,담배제품,울산,반출,0
2022,담배제품,울산,합계,1336
2022,담배제품,경기,반입,12450
2022,담배제품,경기,반출,3
2022,담배제품,경기,합계,12453
2022,담배제품,강원,반입,1597
2022,담배제품,강원,반출,0
2022,담배제품,강원,합계,1597
2022,담배제품,충북,반입,1529
2022,담배제품,충북,반출,0
2022,담배제품,충북,합계,1529
2022,담배제품,충남,반입,1883
2022,담배제품,충남,반출,0
2022,담배제품,충남,합계,1883
2022,담배제품,전북,반입,1793
2022,담배제품,전북,반출,0
2022,담배제품,전북,합계,1793
2022,담배제품,전남,반입,1779
2022,담배제품,전남,반출,0
2022,담배제품,전남,합계,1779
2022,담배제품,경북,반입,2337
2022,담배제품,경북,반출,15403
2022,담배제품,경북,합계,17740
2022,담배제품,경남,반입,3460
2022,담배제품,경남,반출,11915
2022,담배제품,경남,합계,15375
2022,담배제품,제주,반입,0
2022,담배제품,제주,반출,0
2022,담배제품,제주,합계,0
2022,섬유제품; 의복제외,서울,반입,2115980
2022,섬유제품; 의복제외,서울,반출,62876
2022,섬유제품; 의복제외,서울,합계,2178856
2022,섬유제품; 의복제외,부산,반입,187212
2022,섬유제품; 의복제외,부산,반출,123199
2022,섬유제품; 의복제외,부산,합계,310411
2022,섬유제품; 의복제외,대구,반입,90940
2022,섬유제품; 의복제외,대구,반출,726879
2022,섬유제품; 의복제외,대구,합계,817819
2022,섬유제품; 의복제외,인천,반입,134281
2022,섬유제품; 의복제외,인천,반출,30506
2022,섬유제품; 의복제외,인천,합계,164787
2022,섬유제품; 의복제외,광주,반입,66397
2022,섬유제품; 의복제외,광주,반출,23328
2022,섬유제품; 의복제외,광주,합계,89725
2022,섬유제품; 의복제외,세종,반입,9552
2022,섬유제품; 의복제외,세종,반출,3229
2022,섬유제품; 의복제외,세종,합계,12781
2022,섬유제품; 의복제외,대전,반입,60708
2022,섬유제품; 의복제외,대전,반출,52425
2022,섬유제품; 의복제외,대전,합계,113133
2022,섬유제품; 의복제외,울산,반입,64683
2022,섬유제품; 의복제외,울산,반출,154456
2022,섬유제품; 의복제외,울산,합계,219139
2022,섬유제품; 의복제외,경기,반입,487469
2022,섬유제품; 의복제외,경기,반출,1424816
2022,섬유제품; 의복제외,경기,합계,1912285
2022,섬유제품; 의복제외,강원,반입,50566
2022,섬유제품; 의복제외,강원,반출,28063
2022,섬유제품; 의복제외,강원,합계,78629
2022,섬유제품; 의복제외,충북,반입,95725
2022,섬유제품; 의복제외,충북,반출,133444
2022,섬유제품; 의복제외,충북,합계,229169
2022,섬유제품; 의복제외,충남,반입,132771
2022,섬유제품; 의복제외,충남,반출,197075
2022,섬유제품; 의복제외,충남,합계,329846
2022,섬유제품; 의복제외,전북,반입,98219
2022,섬유제품; 의복제외,전북,반출,50356
2022,섬유제품; 의복제외,전북,합계,148575
2022,섬유제품; 의복제외,전남,반입,81691
2022,섬유제품; 의복제외,전남,반출,72036
2022,섬유제품; 의복제외,전남,합계,153727
2022,섬유제품; 의복제외,경북,반입,192488
2022,섬유제품; 의복제외,경북,반출,811688
2022,섬유제품; 의복제외,경북,합계,1004176
2022,섬유제품; 의복제외,경남,반입,204557
2022,섬유제품; 의복제외,경남,반출,178863
2022,섬유제품; 의복제외,경남,합계,383420
2022,섬유제품; 의복제외,제주,반입,0
2022,섬유제품; 의복제외,제주,반출,0
2022,섬유제품; 의복제외,제주,합계,0
2022,"의복, 의복 액세서리 및 모피제품",서울,반입,104598
2022,"의복, 의복 액세서리 및 모피제품",서울,반출,664409
2022,"의복, 의복 액세서리 및 모피제품",서울,합계,769007
2022,"의복, 의복 액세서리 및 모피제품",부산,반입,40928
2022,"의복, 의복 액세서리 및 모피제품",부산,반출,120701
2022,"의복, 의복 액세서리 및 모피제품",부산,합계,161629
2022,"의복, 의복 액세서리 및 모피제품",대구,반입,79712
