지역,기간,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
광주광역시,2000,36,화약류화공품성냥발화성합금특정가연성조제품,,,,,0.0
광주광역시,2000,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),,,,,0.0
광주광역시,2001,01,살아있는동물,0.0,0.0,17.0,46.0,-46.0
광주광역시,2001,02,육과식용설육(屑肉),12.0,77.0,4.0,65.0,12.0
광주광역시,2001,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,124.0,722.0,369.0,6898.0,-6176.0
광주광역시,2001,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,37.0,1889.0,349.0,16949.0,-15060.0
광주광역시,2001,05,다른류로분류되지않은동물성생산품,2.0,13.0,9.0,213.0,-200.0
광주광역시,2001,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,72.0,308.0,37.0,426.0,-118.0
광주광역시,2001,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),191.0,1095.0,127.0,1319.0,-224.0
광주광역시,2001,08,식용의과실과견과류감귤류ㆍ멜론의껍질,45.0,641.0,0.0,0.0,641.0
광주광역시,2001,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,12.0,126.0,53.0,343.0,-217.0
광주광역시,2001,10,곡물,0.0,0.0,18.0,5128.0,-5128.0
광주광역시,2001,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),1.0,1.0,35.0,5066.0,-5065.0
광주광역시,2001,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,49.0,647.0,100.0,481.0,166.0
광주광역시,2001,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),0.0,0.0,9.0,317.0,-317.0
광주광역시,2001,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0.0,0.0,186.0,1790.0,-1790.0
광주광역시,2001,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,4.0,86.0,3.0,9.0,77.0
광주광역시,2001,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,12.0,129.0,37.0,1184.0,-1056.0
광주광역시,2001,17,당류(糖類)와설탕과자,7.0,68.0,16.0,525.0,-456.0
광주광역시,2001,18,코코아와그조제품,0.0,0.0,16.0,1585.0,-1585.0
광주광역시,2001,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,108.0,1408.0,26.0,185.0,1223.0
광주광역시,2001,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,146.0,871.0,34.0,313.0,558.0
광주광역시,2001,21,각종조제식료품,63.0,577.0,90.0,722.0,-145.0
광주광역시,2001,22,음료ㆍ주류ㆍ식초,240.0,16823.0,28.0,224.0,16600.0
광주광역시,2001,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,12.0,135.0,100.0,4205.0,-4070.0
광주광역시,2001,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,71.0,132.0,0.0,0.0,132.0
광주광역시,2001,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,2.0,36.0,89.0,1305.0,-1269.0
광주광역시,2001,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,29.0,171.0,97.0,681.0,-510.0
광주광역시,2001,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,1.0,19.0,277.0,6171.0,-6153.0
광주광역시,2001,29,유기화학품,12.0,39.0,154.0,5627.0,-5588.0
광주광역시,2001,30,의료용품,9.0,80.0,19.0,26.0,55.0
광주광역시,2001,31,비료,0.0,0.0,3.0,44.0,-44.0
광주광역시,2001,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,45.0,209.0,289.0,1555.0,-1346.0
광주광역시,2001,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,3.0,11.0,123.0,1119.0,-1109.0
광주광역시,2001,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,144.0,647.0,162.0,3859.0,-3212.0
광주광역시,2001,35,단백질계물질변성전분글루(glue)효소,12.0,34.0,257.0,3650.0,-3615.0
광주광역시,2001,37,사진용이나영화용재료,1.0,2.0,32.0,789.0,-787.0
광주광역시,2001,38,각종화학공업생산품,81.0,635.0,610.0,9801.0,-9166.0
광주광역시,2001,39,플라스틱과그제품,1386.0,7800.0,1486.0,15953.0,-8153.0
광주광역시,2001,40,고무와그제품,6623.0,115521.0,473.0,16300.0,99221.0
광주광역시,2001,41,원피(모피는제외한다)와가죽,0.0,0.0,1.0,9.0,-9.0
광주광역시,2001,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,7.0,38.0,78.0,125.0,-87.0
광주광역시,2001,43,모피ㆍ인조모피와이들의제품,0.0,0.0,5.0,14.0,-14.0
광주광역시,2001,44,목재와그제품목탄,7.0,19.0,232.0,5134.0,-5115.0
광주광역시,2001,45,코르크(cork)와그제품,,,,,0.0
광주광역시,2001,46,짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物),6.0,71.0,14.0,119.0,-48.0
광주광역시,2001,47,목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)],0.0,0.0,26.0,4526.0,-4526.0
광주광역시,2001,48,종이와판지제지용펄프ㆍ종이ㆍ판지의제품,241.0,4933.0,91.0,810.0,4122.0
광주광역시,2001,49,인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면,23.0,116.0,351.0,308.0,-192.0
광주광역시,2001,50,견,1.0,2.0,8.0,10.0,-8.0
광주광역시,2001,51,양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물,1.0,5.0,1.0,4.0,2.0
광주광역시,2001,52,면,1236.0,17458.0,1616.0,152493.0,-135034.0
광주광역시,2001,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,0.0,0.0,60.0,2208.0,-2208.0
광주광역시,2001,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,636.0,11737.0,83.0,1646.0,10091.0
광주광역시,2001,55,인조스테이플섬유,36.0,363.0,338.0,13871.0,-13508.0
광주광역시,2001,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,6.0,8.0,36.0,387.0,-379.0
광주광역시,2001,57,양탄자류와그밖의방직용섬유로만든바닥깔개,0.0,0.0,18.0,343.0,-343.0
광주광역시,2001,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,17.0,56.0,46.0,631.0,-576.0
광주광역시,2001,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,8.0,81.0,108.0,6590.0,-6509.0
광주광역시,2001,60,메리야스편물과뜨개질편물,11.0,63.0,6.0,55.0,8.0
광주광역시,2001,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),64.0,1796.0,79.0,951.0,845.0
광주광역시,2001,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),51.0,768.0,221.0,1132.0,-364.0
광주광역시,2001,63,제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마,158.0,1473.0,65.0,74.0,1399.0
광주광역시,2001,64,신발류ㆍ각반과이와유사한것이들의부분품,1.0,4.0,63.0,109.0,-105.0
광주광역시,2001,65,모자류와그부분품,3.0,28.0,15.0,47.0,-19.0
